Reaction,Subsystem
2AMACHYD,"Glycine, serine and threonine metabolism"
2AMADPTm,"Transport, Mitochondrial"
2MCITt,"Transport, Extracellular"
2OXOADPTm,"Transport, Mitochondrial"
335TRITHYRt5e,"Transport, Extracellular"
34DHOXMANDte,"Transport, Extracellular"
34DHXMANDACOX,"Tyrosine metabolism"
3HLYTCL,"Tyrosine metabolism"
3HPCOAHYDm,"B-alanine metabolism"
3HPPDm,"Propanoate metabolism"
3M4HDXPAC,"Tyrosine metabolism"
3M4HPORx,"Unassigned"
3M4HPORy,"Unassigned"
3MLDAt,"Transport, Extracellular"
3MOXTYROX,"Tyrosine metabolism"
3OHGLUTACOAT3t,"Transport, Extracellular"
3SALACBOXL,"Methionine and cysteine metabolism"
41R2A1H12BOOX,"Tyrosine metabolism"
4HOXPACDOX,"Tyrosine metabolism"
4HOXPACDOXy,"Tyrosine metabolism"
5AOPtm,"Transport, Mitochondrial"
5HTRPVESSEC,"Transport, Extracellular"
5MTHFt,"Transport, Extracellular"
5MTHFt2,"Transport, Extracellular"
AACOAT,"Propanoate metabolism"
AACTOOR,"Glycine, serine and threonine metabolism"
AACTtm,"Transport, Mitochondrial"
AATA,"Lysine metabolism"
AATAi,"Lysine metabolism"
ABUTt2r,"Transport, Extracellular"
ABUTt4_2_r,"Transport, Extracellular"
ACACT1r,"Tryptophan metabolism"
ACHtn,"Transport, Nuclear"
ACITL,"Citric acid cycle"
ACITLn,"Citric acid cycle"
ACLACte,"Transport, Extracellular"
ACNAM9PL2,"Aminosugar metabolism"
ACOATE191p,"Fatty acid oxidation"
ACOD,"Unassigned"
ACONTbm,"Citric acid cycle"
ACt2r,"Transport, Extracellular"
ADK1,"Nucleotide interconversions"
ADK3m,"Nucleotide interconversions"
ADNCYC,"Nucleotide salvage pathway"
ADNK1,"Nucleotide salvage pathway"
ADNK3,"Nucleotide salvage pathway"
ADPT,"Nucleotide salvage pathway"
ADPt4,"Transport, Mitochondrial"
ADPtn,"Transport, Nuclear"
ADSK,"Nucleotide salvage pathway"
AGTix,"Alanine and aspartate metabolism"
AHC,"Methionine and cysteine metabolism"
