Reaction,Subsystem
BUP2,"Nucleotide salvage pathway"
BUTt2m,"Transport, Mitochondrial"
B_MANNASEly,"N-glycan degradation"
C161CPT1,"Carnitine metabolism"
C204CPT1,"Carnitine metabolism"
CA2tm,"Transport, Mitochondrial"
CACT4r,"Transport, Endoplasmic reticular"
CACT6r,"Transport, Endoplasmic reticular"
CACT7p,"Transport, Mitochondrial"
CAT,"ROS detoxification"
CATp,"ROS detoxification"
CHAT,"Glycerophospholipid metabolism"
CHATn,"Glycerophospholipid metabolism"
CHLPCTD,"Glycerophospholipid metabolism"
CHLtm,"Transport, Mitochondrial"
CHOLD2m,"Glycine, serine and threonine metabolism"
CHOLtn,"Transport, Nuclear"
CITRte,"Transport, Extracellular"
CITRtm,"Transport, Mitochondrial"
CITtn,"Transport, Nuclear"
CMPACNAtg,"Transport, Golgi Apparatus"
CMPSAS,"Aminosugar metabolism"
CO2tn,"Transport, Nuclear"
COAtp,"Transport, Peroxisomal"
COAtr,"Transport, Endoplasmic reticular"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CRNCARtp,"Transport, Peroxisomal"
CRNtim,"Transport, Mitochondrial"
CRNtr,"Transport, Endoplasmic reticular"
CRTSLt,"Transport, Extracellular"
CRTSLtm,"Transport, Mitochondrial"
CRTSTRNt,"Transport, Extracellular"
CRTSTRNtm,"Transport, Mitochondrial"
CSNATp,"Carnitine metabolism"
CSNATr,"Carnitine metabolism"
CYSDDS,"Methionine and cysteine metabolism"
CYSTGL,"Methionine and cysteine metabolism"
CYSTS,"Methionine and cysteine metabolism"
CYSt4,"Transport, Extracellular"
CYTK8,"Nucleotide interconversions"
DADK3,"Nucleotide interconversions"
DAGKm_hs,"Glycerophospholipid metabolism"
DAG_Hstem,"Transport, Endoplasmic reticular"
DAGt,"Transport, Extracellular"
DALAt2r,"Transport, Extracellular"
DASCBR,"Vitamin C metabolism"
DESAT16_1,"Fatty acid desaturation"
DESAT18_1,"Fatty acid desaturation"
DGAT,"Glycerophospholipid metabolism"
DGCHOLt2e,"Transport, Extracellular"
DHCR241r,"Cholesterol metabolism"
DHCR242r,"Cholesterol metabolism"
DHFR3x,"Folate metabolism"
DHFtm,"Transport, Mitochondrial"
DHPM2,"Nucleotide salvage pathway"
DLD,"Glycine, serine and threonine metabolism"
DMGDHm,"Glycine, serine and threonine metabolism"
DMGtm,"Transport, Mitochondrial"
DM_datp[m],"Exchange/Demand"
DM_kdn[c],"Exchange/Demand"
DM_n5m2masn[g],"Exchange/Demand"
DM_thyoxs[c],"Exchange/Demand"
DNAdeg,"Biomass"
DNPH4,"Nucleotide salvage pathway"
DOCO13ACtr,"Transport, Extracellular"
DOCOSECOAtr,"Transport, Endoplasmic reticular"
DOLASNTer,"N-glycan synthesis"
DOLDPPer,"N-glycan synthesis"
DOLGLCP_ter,"Transport, Endoplasmic reticular"
DOLMANP_ter,"Transport, Endoplasmic reticular"
DOLPGT1er,"N-glycan synthesis"
DOLPGT2er,"N-glycan synthesis"
DOLPGT3er,"N-glycan synthesis"
DOLPMT,"N-glycan synthesis"
DOLPMT1er,"N-glycan synthesis"
DOLPMT2_er,"N-glycan synthesis"
DOLPMT3er,"N-glycan synthesis"
DOLPMT4_er,"N-glycan synthesis"
DOLP_ter,"Transport, Endoplasmic reticular"
DOPABMO,"Tyrosine metabolism"
DOPAt4_2_r,"Transport, Extracellular"
DOPAtu,"Transport, Extracellular"
DPCOAK,"CoA metabolism"
DRPA,"Pentose phosphate pathway"
DTMPtm,"Transport, Mitochondrial"
DURIt,"Transport, Extracellular"
D_3AIBt,"Transport, Extracellular"
D_LACt2,"Transport, Extracellular"
EBP2r,"Cholesterol metabolism"
ECOAH1m,"Tryptophan metabolism"
ENGASEly,"N-glycan degradation"
ENO,"Glycolysis/Gluconeogenesis"
ETHMALACc,"Fatty acid oxidation"
ETHMALACte,"Transport, Extracellular"
ETHMALCOAc,"Fatty acid oxidation"
EX_2hyoxplac(e),"Exchange/Demand"
EX_2mcit(e),"Exchange/Demand"
EX_34dhoxmand(e),"Exchange/Demand"
EX_3aib_D(e),"Exchange/Demand"
EX_3mlda(e),"Exchange/Demand"
EX_3ohglutac(e),"Exchange/Demand"
EX_4abut(e),"Exchange/Demand"
EX_4hphac(e),"Exchange/Demand"
EX_4mptnl(e),"Exchange/Demand"
EX_ac(e),"Exchange/Demand"
EX_acgam(e),"Exchange/Demand"
EX_akg(e),"Exchange/Demand"
EX_ala_B(e),"Exchange/Demand"
EX_ascb_L(e),"Exchange/Demand"
EX_bildglcur(e),"Exchange/Demand"
EX_co(e),"Exchange/Demand"
EX_co2(e),"Exchange/Demand"
EX_crtsl(e),"Exchange/Demand"
EX_crtstrn(e),"Exchange/Demand"
EX_cys_L(e),"Exchange/Demand"
EX_doco13ac(e),"Exchange/Demand"
EX_ethmalac(e),"Exchange/Demand"
EX_fuc_L(e),"Exchange/Demand"
EX_gal(e),"Exchange/Demand"
EX_glcur(e),"Exchange/Demand"
EX_glu_L(e),"Exchange/Demand"
EX_gly(e),"Exchange/Demand"
EX_h2o(e),"Exchange/Demand"
EX_i(e),"Exchange/Demand"
EX_isomal(e),"Exchange/Demand"
EX_kynate(e),"Exchange/Demand"
EX_lac_D(e),"Exchange/Demand"
EX_lac_L(e),"Exchange/Demand"
EX_meoh(e),"Exchange/Demand"
EX_na1(e),"Unknown"
EX_o2s(e),"Exchange/Demand"
EX_oxa(e),"Exchange/Demand"
EX_pnto_R(e),"Exchange/Demand"
EX_prgstrn(e),"Exchange/Demand"
EX_pyr(e),"Exchange/Demand"
EX_ser_L(e),"Exchange/Demand"
EX_so4(e),"Exchange/Demand"
EX_succ(e),"Exchange/Demand"
EX_taur(e),"Exchange/Demand"
EX_trpiletrp(e),"Exchange/Demand"
EX_tsul(e),"Exchange/Demand"
EX_urate(e),"Exchange/Demand"
EX_valval(e),"Exchange/Demand"
EX_wharachd(e),"Exchange/Demand"
F6T2g,"N-glycan synthesis"
FA40ACPH,"Fatty acid synthesis"
FACOAL100im,"Fatty acid activation"
FACOAL140i,"Fatty acid activation"
FACOAL160i,"Fatty acid activation"
FACOAL40im,"Fatty acid activation"
FACOAL80im,"Fatty acid activation"
FADH2ETC,"Oxidative phosphorylation"
FAE180,"Fatty acid elongation"
FAE181,"Fatty acid elongation"
FAE200,"Fatty acid elongation"
FAE201,"Fatty acid elongation"
FAE220,"Fatty acid elongation"
FAE221,"Fatty acid elongation"
FAE240,"Fatty acid elongation"
FAE241,"Fatty acid elongation"
FAE260,"Fatty acid elongation"
FALDtm,"Transport, Mitochondrial"
FALDtn,"Transport, Nuclear"
FALDtx,"Transport, Mitochondrial"
FCLTm,"Heme synthesis"
FCYTOB5OXRyr,"Unassigned"
FE2tm,"Transport, Mitochondrial"
FE3tm,"Transport, Mitochondrial"
FECR,"Heme synthesis"
FERO,"Vitamin B2 metabolism"
FKYNH,"Tryptophan metabolism"
FRUt1r,"Transport, Extracellular"
FTMTm,"Unassigned"
FUCASEe,"N-glycan degradation"
G12MT1,"N-glycan synthesis"
G12MT2,"N-glycan synthesis"
G13MT,"N-glycan synthesis"
G14Tg,"N-glycan synthesis"
G16MT,"N-glycan synthesis"
G6PDA,"Aminosugar metabolism"
G6Pt6er,"Transport, Endoplasmic reticular"
GAL3ST11,"Sphingolipid metabolism"
GALASE17ly,"Keraton sulfate degradation"
GALASE18ly,"Keraton sulfate degradation"
GALASE19ly,"Keraton sulfate degradation"
GALASE1ly,"N-glycan degradation"
GALM2,"Galactose metabolism"
GALNTg,"O-glycan synthesis"
GALSIDEtg,"Transport, Golgi Apparatus"
GALSIDEtl,"Transport, Lysosomal"
GALU,"Galactose metabolism"
GALt1r,"Transport, Extracellular"
GALt2_2,"Transport, Extracellular"
GALt4,"Transport, Extracellular"
GALtly,"Transport, Lysosomal"
GAPD,"Glycolysis/Gluconeogenesis"
GASNASEly,"N-glycan degradation"
GCALDD,"Glyoxylate and dicarboxylate metabolism"
GCHOLAt,"Transport, Extracellular"
GCHOLAt2e,"Transport, Extracellular"
GDPFUCtg,"Transport, Golgi Apparatus"
GDPtg,"Transport, Golgi Apparatus"
GF6PTA,"Aminosugar metabolism"
GFUCS,"Aminosugar metabolism"
GFUCSx,"Aminosugar metabolism"
GHMT2rm,"Glycine, serine and threonine metabolism"
GLCMter,"Transport, Extracellular"
GLCNACPT,"N-glycan synthesis"
GLCNACT,"N-glycan synthesis"
GLCOASYNT,"Lysine metabolism"
GLCURter,"Transport, Endoplasmic reticular"
GLCURtly,"Transport, Lysosomal"
GLCter,"Transport, Endoplasmic reticular"
GLNATB0tc,"Transport, Extracellular"
GLNt4,"Transport, Extracellular"
GLUDC,"Glutamate metabolism"
GLUDxm,"Glutamate metabolism"
GLUDym,"Glutamate metabolism"
GLUt2m,"Transport, Mitochondrial"
GLUt6,"Transport, Extracellular"
GLXO2p,"Glyoxylate and dicarboxylate metabolism"
GLYBtm,"Transport, Mitochondrial"
GLYC3Ptm,"Transport, Mitochondrial"
GLYC3Ptmc,"Transport, Mitochondrial"
GLYCLTtp,"Transport, Peroxisomal"
GLYCTO1p,"Glyoxylate and dicarboxylate metabolism"
GLYCtm,"Transport, Mitochondrial"
GLYKm,"Glycerophospholipid metabolism"
GLYOp,"Glycine, serine and threonine metabolism"
GLYt2r,"Transport, Extracellular"
GLYt4,"Transport, Extracellular"
GLYtp,"Transport, Peroxisomal"
GMAND,"Aminosugar metabolism"
GMPtg,"Transport, Golgi Apparatus"
GTPGDPtm,"Transport, Mitochondrial"
GUAPRT,"Nucleotide salvage pathway"
GULOer,"Vitamin C metabolism"
H2O2ter,"Transport, Endoplasmic reticular"
H2Otg,"Transport, Golgi Apparatus"
H2Otly,"Transport, Lysosomal"
H2Otn,"Transport, Nuclear"
H2Otp,"Transport, Peroxisomal"
H3K4DMET_1,"Histone modifications"
H3K4DMET_2,"Histone modifications"
H3K4DMET_3,"Histone modifications"
H3K4MET_1,"Histone modifications"
H3K4MET_2,"Histone modifications"
H3K4MET_3,"Histone modifications"
HACD180,"Fatty acid elongation"
HACD181,"Fatty acid elongation"
HACD1m,"Tryptophan metabolism"
HACD200,"Fatty acid elongation"
HACD201,"Fatty acid elongation"
HACD220,"Fatty acid elongation"
HACD221,"Fatty acid elongation"
HACD240,"Fatty acid elongation"
HACD241,"Fatty acid elongation"
HACD260,"Fatty acid elongation"
HAS1,"Hyaluronan metabolism"
HAS2,"Hyaluronan metabolism"
HAtly,"Transport, Lysosomal"
HDCAter,"Transport, Endoplasmic reticular"
HEX16,"Fructose and mannose metabolism"
HEX4,"Fructose and mannose metabolism"
HEXCCOAtr,"Transport, Endoplasmic reticular"
HISDC,"Histidine metabolism"
HISt1m,"Transport, Mitochondrial"
HISt4,"Transport, Extracellular"
HIStm,"Transport, Mitochondrial"
HMBS,"Heme synthesis"
HOM_Lte,"Transport, Extracellular"
HOMt4,"Transport, Extracellular"
HOXG,"Heme synthesis"
HPACtr,"Transport, Extracellular"
HPYRDC,"Glyoxylate and dicarboxylate metabolism"
HPYRtp,"Transport, Peroxisomal"
HSD180,"Fatty acid elongation"
HSD181,"Fatty acid elongation"
HSD200,"Fatty acid elongation"
HSD201,"Fatty acid elongation"
HSD220,"Fatty acid elongation"
HSD221,"Fatty acid elongation"
HSD240,"Fatty acid elongation"
HSD241,"Fatty acid elongation"
HSD260,"Fatty acid elongation"
HSD3B11,"Steroid metabolism"
HSD3B11r,"Steroid metabolism"
HSD3B13r,"Steroid metabolism"
HYAL,"Hyaluronan metabolism"
HYALe,"Hyaluronan metabolism"
Htg,"Transport, Golgi Apparatus"
Htm,"Transport, Mitochondrial"
Htx,"Transport, Peroxisomal"
ICDHyrm,"Citric acid cycle"
IDHPOXOX2b,"Tyrosine metabolism"
IDHPOXOX3,"Tyrosine metabolism"
IDHPOXOXb,"Tyrosine metabolism"
IMAGH,"Unassigned"
It,"Transport, Extracellular"
KDNH,"Aminosugar metabolism"
KYNAKGAT,"Tryptophan metabolism"
KYNATESYN,"Tryptophan metabolism"
KYNATEtr,"Transport, Extracellular"
LALDD,"Pyruvate metabolism"
LCADi,"Pyruvate metabolism"
LCADi_D,"Pyruvate metabolism"
LCYSTCBOXL,"Methionine and cysteine metabolism"
LEUKTRC4t,"Transport, Extracellular"
LEUKTRD4t,"Transport, Extracellular"
LEUKTRE4t,"Transport, Extracellular"
LEUt4,"Transport, Extracellular"
LKTD4PEP,"Eicosanoid metabolism"
LPSe,"Glycerophospholipid metabolism"
LSTO2r,"Cholesterol metabolism"
LTD4DP,"Eicosanoid metabolism"
LYStm,"Transport, Mitochondrial"
M1316M2g,"N-glycan synthesis"
M1316Mg,"N-glycan synthesis"
M13N2Tg,"N-glycan synthesis"
M13N4T2g,"N-glycan synthesis"
M13N4Tg,"N-glycan synthesis"
M16N4Tg,"N-glycan synthesis"
M16N6T2g,"N-glycan synthesis"
M16N6Tg,"N-glycan synthesis"
M16NT1g,"N-glycan synthesis"
M16NTg,"N-glycan synthesis"
M4MPDOL_ter,"N-glycan synthesis"
MACOXO,"Histidine metabolism"
MALCOAMT,"Carnitine metabolism"
MALCOAMTr,"Carnitine metabolism"
MAN1PT2,"Fructose and mannose metabolism"
MAN6PI,"Fructose and mannose metabolism"
MANtg,"Transport, Golgi Apparatus"
MANtly,"Transport, Lysosomal"
MCITS,"Propanoate metabolism"
MDH,"Citric acid cycle"
MDHm,"Citric acid cycle"
MEOHt2,"Transport, Extracellular"
METAT,"Methionine and cysteine metabolism"
MG1er,"N-glycan synthesis"
MG2er,"N-glycan synthesis"
MG3er,"N-glycan synthesis"
MGSA,"Pyruvate metabolism"
MHISOR,"Histidine metabolism"
MTHFCm,"Folate metabolism"
MTHFDm,"Folate metabolism"
NACHEX24ly,"Keraton sulfate degradation"
NACHEX25ly,"Keraton sulfate degradation"
NADHtpu,"Transport, Peroxisomal"
NADHtru,"Transport, Endoplasmic reticular"
NADtru,"Transport, Endoplasmic reticular"
NADtx,"Transport, Peroxisomal"
NAGA2ly,"Keraton sulfate degradation"
NAGLCAly,"Keraton sulfate degradation"
NAIt,"Transport, Extracellular"
NCKt,"Transport, Extracellular"
NDP7er,"Nucleotide salvage pathway"
NDP7g,"Nucleotide salvage pathway"
NDPK1,"Nucleotide interconversions"
NDPK2,"Nucleotide interconversions"
NDPK6,"Nucleotide interconversions"
NH4tm,"Transport, Mitochondrial"
NH4tp,"Transport, Peroxisomal"
NOS2,"Arginine and proline metabolism"
NRPPHRt4_2_r,"Transport, Extracellular"
NRPPHRtu,"Transport, Extracellular"
NRVNCCOAtr,"Transport, Endoplasmic reticular"
NRVNCCOAtxc,"Transport, Peroxisomal"
NTD10,"Nucleotide salvage pathway"
NTD7,"Nucleotide salvage pathway"
NTD9,"Nucleotide salvage pathway"
NWHARGOR,"Arginine and proline metabolism"
O2St,"Transport, Extracellular"
O2tn,"Transport, Nuclear"
O2tp,"Transport, Peroxisomal"
OAAtn,"Transport, Nuclear"
OBDHc,"Glycine, serine and threonine metabolism"
OCDCEACRNtr,"Transport, Endoplasmic reticular"
OCDE9ECOAtr,"Transport, Endoplasmic reticular"
OCDEAFABP1tc,"Transport, Endoplasmic reticular"
OCTD11ECOAtr,"Transport, Endoplasmic reticular"
ORNt,"Transport, Extracellular"
OXALSUCCCLm,"Citric acid cycle"
OXAtp,"Transport, Peroxisomal"
OXOADLR,"Lysine metabolism"
P45011A1m,"Steroid metabolism"
P45011B11m,"Steroid metabolism"
P45011B12m,"Steroid metabolism"
P45017A1r,"Steroid metabolism"
P45021A1r,"Steroid metabolism"
P45021A2r,"Steroid metabolism"
P4504F121r,"Eicosanoid metabolism"
PAPStg,"Transport, Golgi Apparatus"
PAPtg,"Transport, Golgi Apparatus"
PCFLOPm,"Transport, Mitochondrial"
PEMET1,"Sphingolipid metabolism"
PEMET2,"Sphingolipid metabolism"
PETOHMm_hs,"Glycerophospholipid metabolism"
PE_HStm,"Transport, Mitochondrial"
PGK,"Glycolysis/Gluconeogenesis"
PGM,"Glycolysis/Gluconeogenesis"
PGMT,"Glycolysis/Gluconeogenesis"
PHEMEtabc,"Transport, Mitochondrial"
PHEMEtm,"Transport, Mitochondrial"
PHETA1,"Phenylalanine metabolism"
PHETA1m,"Phenylalanine metabolism"
PHEt4,"Transport, Extracellular"
PHPYRtm,"Transport, Mitochondrial"
PIATPLtm,"Transport, Mitochondrial"
PItg,"Transport, Golgi Apparatus"
PItn,"Transport, Nuclear"
PLMCOAPTr,"Carnitine metabolism"
PMANM,"Fructose and mannose metabolism"
PMTCOAFABP1tc,"Transport, Endoplasmic reticular"
PNTK,"CoA metabolism"
PPBNGS,"Heme synthesis"
PPCDC,"CoA metabolism"
PPCOAtm,"Transport, Mitochondrial"
PPDOy,"Pyruvate metabolism"
PPItm,"Transport, Mitochondrial"
PPM,"Pentose phosphate pathway"
PPOR,"Phenylalanine metabolism"
PPPG9tm,"Transport, Mitochondrial"
PPPGOm,"Heme synthesis"
PRGNLONEtm,"Transport, Mitochondrial"
PRGNLONEtr,"Transport, Endoplasmic reticular"
PRGSTRNt,"Transport, Extracellular"
PROSTGE1t5e,"Transport, Extracellular"
PROSTGE2t,"Transport, Extracellular"
PROt4,"Transport, Extracellular"
PSDm_hs,"Glycerophospholipid metabolism"
PSFLIPm,"Transport, Mitochondrial"
PTPAT,"CoA metabolism"
PUNP3,"Nucleotide salvage pathway"
PUNP7,"Nucleotide salvage pathway"
PYRAKGte,"Transport, Extracellular"
PYRtm,"Transport, Mitochondrial"
Pit4,"Transport, Mitochondrial"
RNAdeg,"Biomass"
RTOT3,"R group synthesis"
RTOT4,"R group synthesis"
RTOT5,"R group synthesis"
RTOTALFATPc,"Transport, Extracellular"
S26Tg,"N-glycan synthesis"
S2L2FN2M2MASNt,"Transport, Extracellular"
S2L2N2M2MASNtly,"Transport, Lysosomal"
S6TASE24ly,"Keraton sulfate degradation"
SADT,"Nucleotide salvage pathway"
SAMHISTA,"Histidine metabolism"
SARCOXp,"Glycine, serine and threonine metabolism"
SARCStm,"Transport, Mitochondrial"
SARCStp,"Transport, Peroxisomal"
SBTD_D2,"Fructose and mannose metabolism"
SBTR,"Fructose and mannose metabolism"
SE1,"Cholesterol metabolism"
SERALANaEx,"Transport, Extracellular"
SERTm,"Transport, Mitochondrial"
SERt4,"Transport, Extracellular"
SERtp,"Transport, Peroxisomal"
SFGTH,"Tyrosine metabolism"
SGALSIDEtg,"Transport, Golgi Apparatus"
SGALSIDEtl,"Transport, Lysosomal"
SIAASEly,"N-glycan degradation"
SK_Asn_X_Ser/Thr[r],"Sink"
SO4CLtex,"Transport, Extracellular"
SO4CLtex2,"Transport, Extracellular"
SO4HCOtex,"Transport, Extracellular"
SO4OXAtex2,"Transport, Extracellular"
SO4t4_3,"Transport, Extracellular"
SO4tl,"Transport, Lysosomal"
SOAT1,"Cholesterol metabolism"
SPTx,"Glycine, serine and threonine metabolism"
SSALym,"Glutamate metabolism"
Ser/Thrtg,"Transport, Golgi Apparatus"
TAGt,"Transport, Extracellular"
TAURCHAe,"Transport, Extracellular"
TD2GLTRCOAm,"Lysine metabolism"
TECR180,"Fatty acid elongation"
TECR181,"Fatty acid elongation"
TECR200,"Fatty acid elongation"
TECR201,"Fatty acid elongation"
TECR220,"Fatty acid elongation"
TECR221,"Fatty acid elongation"
TECR240,"Fatty acid elongation"
TECR241,"Fatty acid elongation"
TECR260,"Fatty acid elongation"
THFtm,"Transport, Mitochondrial"
THR3Dx,"Glycine, serine and threonine metabolism"
THRA,"Glycine, serine and threonine metabolism"
THRALANaEx,"Transport, Extracellular"
THYOXt,"Transport, Extracellular"
THYPX,"Tyrosine metabolism"
THYRIDHD,"Phenylalanine metabolism"
THYST,"Tyrosine metabolism"
TRDR,"Nucleotide salvage pathway"
TRIODTHYt,"Transport, Extracellular"
TRPILETRPr,"Peptide metabolism"
TRPILETRPt,"Transport, Extracellular"
TRPO2,"Tryptophan metabolism"
TTDCPT1,"Carnitine metabolism"
TTDCPT2,"Carnitine metabolism"
TTDCRNt,"Transport, Mitochondrial"
TYRATB0tc,"Transport, Extracellular"
TYRCBOX,"Tyrosine metabolism"
TYRDOPO,"Tyrosine metabolism"
TYROX,"Tyrosine metabolism"
TYROXDAc,"Tyrosine metabolism"
TYRTA,"Tyrosine metabolism"
UAG2EMAi,"Aminosugar metabolism"
UAGDP,"Aminosugar metabolism"
UDPACGALtl,"Transport, Lysosomal"
UDPDOLPT,"N-glycan synthesis"
UDPG4E,"Galactose metabolism"
UDPGALtg,"Transport, Golgi Apparatus"
UDPGCURtr,"Transport, Endoplasmic reticular"
UDPGD,"Starch and sucrose metabolism"
UDPGLCAter,"Transport, Endoplasmic reticular"
UDPtl,"Transport, Lysosomal"
UGALNACtg,"Transport, Golgi Apparatus"
UGLCNACtg,"Transport, Golgi Apparatus"
UGT1A2r,"Steroid metabolism"
UMPtr,"Transport, Endoplasmic reticular"
UPP3S,"Heme synthesis"
UPPDC1,"Heme synthesis"
URATEt,"Transport, Extracellular"
UREAt,"Transport, Extracellular"
URIK2,"Nucleotide salvage pathway"
URIK4,"Nucleotide salvage pathway"
VALVALr,"Peptide metabolism"
VALVALt,"Transport, Extracellular"
WHARACHDt5e,"Transport, Extracellular"
WHARACHDtr,"Transport, Endoplasmic reticular"
XAND,"Nucleotide salvage pathway"
ZN2te,"Transport, Extracellular"
ZNte,"Transport, Extracellular"
