Reaction,Subsystem
335TRITHYRt5e,"Transport, Extracellular"
34DHXMANDACOX,"Tyrosine metabolism"
3HPCOAHYDm,"B-alanine metabolism"
3HPPDm,"Propanoate metabolism"
3M4HDXPAC,"Tyrosine metabolism"
3MOXTYROX,"Tyrosine metabolism"
3SALACBOXL,"Methionine and cysteine metabolism"
4HOXPACDOXy,"Tyrosine metabolism"
5HTRPVESSEC,"Transport, Extracellular"
5MTHFt,"Transport, Extracellular"
5MTHFt2,"Transport, Extracellular"
AACOAT,"Propanoate metabolism"
ABUTt2r,"Transport, Extracellular"
ACACT1r,"Tryptophan metabolism"
ACLACte,"Transport, Extracellular"
ACOATE191p,"Fatty acid oxidation"
ACOD,"Unassigned"
ACONTbm,"Citric acid cycle"
ADK1,"Nucleotide interconversions"
ADNCYC,"Nucleotide salvage pathway"
ADNK1,"Nucleotide salvage pathway"
ADPT,"Nucleotide salvage pathway"
AKGGHTRDtm,"Transport, Mitochondrial"
ALAt2r,"Transport, Extracellular"
AMID6,"Urea cycle"
ARACHDCOAtr,"Transport, Endoplasmic reticular"
ARCOAATr,"Carnitine metabolism"
ASNATB0tc,"Transport, Extracellular"
ASNt4,"Transport, Extracellular"
ASPTA,"Alanine and aspartate metabolism"
ASPt6,"Transport, Extracellular"
BILGLCURt,"Transport, Extracellular"
BILGLCURt5e,"Transport, Extracellular"
BILGLCURtr,"Transport, Endoplasmic reticular"
C30CPT1,"Carnitine metabolism"
C4STMO2Pr,"Cholesterol metabolism"
CAATPS,"Transport, Extracellular"
CACT7r,"Transport, Peroxisomal"
CAt7r,"Transport, Extracellular"
CDPDAGtm,"Transport, Mitochondrial"
CDS,"Glycerophospholipid metabolism"
CDSm,"Glycerophospholipid metabolism"
CHOLATEt,"Transport, Extracellular"
CHOLATEt2,"Transport, Extracellular"
CHSTEROLt2,"Transport, Mitochondrial"
CITMCOAHm,"Pyruvate metabolism"
CITMCOALm,"Pyruvate metabolism"
CITtam,"Transport, Mitochondrial"
CLHCO3tex2,"Transport, Extracellular"
CLOXAtex2,"Transport, Extracellular"
CRNt,"Transport, Extracellular"
CRNtuNa,"Transport, Extracellular"
CSNAT2m,"Carnitine metabolism"
CSm,"Citric acid cycle"
CTPtm,"Transport, Mitochondrial"
CYSATB0tc,"Transport, Extracellular"
CYSGLTH,"Methionine and cysteine metabolism"
CYSO,"Methionine and cysteine metabolism"
CYSRED,"Methionine and cysteine metabolism"
DGCHOLte,"Transport, Extracellular"
DHFR3m,"Folate metabolism"
DHFRm,"Folate metabolism"
DM_neuromelanin(c),"Exchange/Demand"
DOPACHRMDC,"Tyrosine metabolism"
DOPACHRMISO,"Tyrosine metabolism"
DOPAMT,"Tyrosine metabolism"
DOPAOQCYS,"Tyrosine metabolism"
DOPAQNISO1,"Tyrosine metabolism"
ESTRONESt,"Transport, Extracellular"
ETHP,"Glycerophospholipid metabolism"
EX_335trithyr(e),"Exchange/Demand"
EX_5htrp(e),"Exchange/Demand"
EX_ala_L(e),"Exchange/Demand"
EX_asp_L(e),"Exchange/Demand"
EX_bilglcur(e),"Exchange/Demand"
EX_cgly(e),"Exchange/Demand"
EX_h2o2(e),"Exchange/Demand"
EX_homoval(e),"Exchange/Demand"
EX_phacgly(e),"Exchange/Demand"
FACOAL191,"Fatty acid activation"
FATP1t,"Transport, Extracellular"
FATP9t,"Transport, Extracellular"
FOLt2,"Transport, Extracellular"
FOLtm,"Transport, Mitochondrial"
G6PDH2r,"Pentose phosphate pathway"
GALt4_2,"Transport, Extracellular"
GCHOLAt2,"Transport, Extracellular"
GGTAe2,"Glutathione metabolism"
GLCtg,"Transport, Golgi Apparatus"
GLUCYS,"Glutathione metabolism"
GLXtp,"Transport, Peroxisomal"
GLYCLTDy,"Glyoxylate and dicarboxylate metabolism"
GLYtm,"Transport, Mitochondrial"
GND,"Pentose phosphate pathway"
GPAT,"Urea cycle"
GSNt,"Transport, Extracellular"
GTHDH,"Vitamin C metabolism"
GTHOm,"Glutathione metabolism"
GTHPm,"Glutathione metabolism"
GTHRDte,"Transport, Extracellular"
GTHS,"Glutathione metabolism"
GUACYC,"Nucleotide salvage pathway"
H2O2t,"Transport, Extracellular"
H2O2tm,"Transport, Mitochondrial"
H2O2tp,"Transport, Peroxisomal"
HDCEACRNtr,"Transport, Endoplasmic reticular"
HDCEAtr,"Transport, Extracellular"
HEX12,"Glycolysis/Gluconeogenesis"
HOMOVALte,"Transport, Extracellular"
HTDH,"CoA metabolism"
ILEt4,"Transport, Extracellular"
ITCOALm,"Unassigned"
LACZe,"Galactose metabolism"
LCTStg,"Transport, Extracellular"
LYSCITRt2m,"Transport, Mitochondrial"
L_LACt2r,"Transport, Extracellular"
ME1m,"Pyruvate metabolism"
ME2m,"Pyruvate metabolism"
METATB0tc,"Transport, Extracellular"
MI1PP,"Inositol phosphate metabolism"
MMEm,"Valine, leucine and isoleucine metabolism"
MMMm,"Valine, leucine and isoleucine metabolism"
MTHFR3x,"Folate metabolism"
NADH2_u10m,"Oxidative phosphorylation"
NADPHtru,"Transport, Endoplasmic reticular"
NADPtru,"Transport, Endoplasmic reticular"
NDPK8,"Nucleotide interconversions"
NDPK9,"Nucleotide interconversions"
NM_4,"Tyrosine metabolism"
NM_8,"Tyrosine metabolism"
NTD2,"Nucleotide salvage pathway"
NTD5,"Nucleotide salvage pathway"
OAADC,"Unassigned"
PAAA,"Phenylalanine metabolism"
PACCOAL,"Phenylalanine metabolism"
PAOR,"Phenylalanine metabolism"
PCRNtm,"Transport, Mitochondrial"
PDE1,"Nucleotide salvage pathway"
PDE4,"Nucleotide salvage pathway"
PGAM1_PhosHydro,"Unassigned"
PGL,"Pentose phosphate pathway"
PGLYCH,"Glycerophospholipid metabolism"
PHACGLYc,"Valine, leucine and isoleucine metabolism"
PHACGLYt,"Transport, Extracellular"
PIGTHRDLtm,"Transport, Mitochondrial"
PIPLC,"Inositol phosphate metabolism"
PNTOt1,"Transport, Extracellular"
PPA,"Oxidative phosphorylation"
PPAer,"Unassigned"
PPCOAOm,"Propanoate metabolism"
PRISTCOAtcx,"Transport, Peroxisomal"
PRISTtx,"Transport, Peroxisomal"
PROSTGH2t,"Transport, Extracellular"
PROSTGH2t5e,"Transport, Extracellular"
PROSTGI2t,"Transport, Extracellular"
PROSTI2t5e,"Transport, Extracellular"
PRPNCOAHYDm,"B-alanine metabolism"
PSSA2_hs,"Glycerophospholipid metabolism"
PYK,"Glycolysis/Gluconeogenesis"
RAI1,"Vitamin A metabolism"
RDH1a,"Vitamin A metabolism"
RDH3a,"Vitamin A metabolism"
RETI1,"Vitamin A metabolism"
RPE,"Pentose phosphate pathway"
SE3,"Cholesterol metabolism"
SERCYSNaEx,"Transport, Extracellular"
SOAT2,"Cholesterol metabolism"
SUCCt4_3,"Transport, Extracellular"
THBPT4ACAMDASE,"Tetrahydrobiopetrin metabolism"
THRt4,"Transport, Extracellular"
THYRDI,"Phenylalanine metabolism"
THYRDI2,"Phenylalanine metabolism"
TKT1,"Pentose phosphate pathway"
TKT2,"Pentose phosphate pathway"
TRPHYDRO2,"Tryptophan metabolism"
TTDCAtr,"Transport, Extracellular"
TYRDOPOX,"Tyrosine metabolism"
TYRt4,"Transport, Extracellular"
UGALGTg,"Galactose metabolism"
UGT1A10r,"Steroid metabolism"
VALATB0tc,"Transport, Extracellular"
VALt4,"Transport, Extracellular"
