Reaction,Subsystem
CLOHtex2,"Transport, Extracellular"
CLOXAtex2,"Transport, Extracellular"
CO2t,"Transport, Extracellular"
CO2tg,"Unknown"
CO2tn,"Transport, Nuclear"
COAtm,"Transport, Mitochondrial"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CRNtHa,"Transport, Extracellular"
CRNtim,"Transport, Mitochondrial"
CRNtuNa,"Transport, Extracellular"
CRTSTRNt,"Transport, Extracellular"
CRTSTRNtm,"Transport, Mitochondrial"
CSNATr,"Carnitine metabolism"
CTPtm,"Transport, Mitochondrial"
CYSGLTH,"Methionine and cysteine metabolism"
CYSRED,"Methionine and cysteine metabolism"
CYTDn,"Nucleotide salvage pathway"
CYTDt,"Transport, Extracellular"
CYTDt4,"Transport, Extracellular"
CYTDtn,"Transport, Nuclear"
CYTK3,"Nucleotide interconversions"
DADK3,"Nucleotide interconversions"
DAGt,"Transport, Extracellular"
DALAOXx,"Miscellaneous"
DALAxt,"Transport, Peroxisomal"
DASCBR,"Vitamin C metabolism"
DESAT16_1,"Fatty acid desaturation"
DESAT18_1,"Fatty acid desaturation"
DGCHOLt2e,"Transport, Extracellular"
DGCHOLte,"Transport, Extracellular"
DHCR241r,"Cholesterol metabolism"
DHCR242r,"Cholesterol metabolism"
DHCRD1,"Sphingolipid metabolism"
DHCRD2,"Sphingolipid metabolism"
DHFRx,"Folate metabolism"
DHPR,"Tetrahydrobiopetrin metabolism"
DHPRy,"Tetrahydrobiopetrin metabolism"
DINt,"Transport, Extracellular"
DINt3e,"Transport, Extracellular"
DKMPPD1,"Methionine and cysteine metabolism"
DKMPPD3,"Methionine and cysteine metabolism"
DLD,"Glycine, serine and threonine metabolism"
DM_adystroglycan,"Unknown"
DOLMANP_ter,"Transport, Endoplasmic reticular"
DOLPMT,"N-glycan synthesis"
DOLPOMTr,"Unknown"
DOLP_ter,"Transport, Endoplasmic reticular"
DOPABMO,"Tyrosine metabolism"
DOPASFt,"Transport, Extracellular"
DOPASULT,"Tyrosine metabolism"
DOPAt4_2_r,"Transport, Extracellular"
DOPAtu,"Transport, Extracellular"
DRPA,"Pentose phosphate pathway"
DURIK1,"Nucleotide salvage pathway"
DUTCP,"Nucleotide salvage pathway"
EBP2r,"Cholesterol metabolism"
ENO,"Glycolysis/Gluconeogenesis"
ETHP,"Glycerophospholipid metabolism"
EX_34dhoxmand(e),"Exchange/Demand"
EX_3mob(e),"Exchange/Demand"
EX_3mop(e),"Exchange/Demand"
EX_4hpro(e),"Exchange/Demand"
EX_4mptnl(e),"Exchange/Demand"
EX_4ohbut(e),"Exchange/Demand"
EX_Lhcystin(e),"Exchange/Demand"
EX_ac(e),"Exchange/Demand"
EX_acald(e),"Exchange/Demand"
EX_acgam(e),"Exchange/Demand"
EX_adrnl(e),"Exchange/Demand"
EX_akg(e),"Exchange/Demand"
EX_ala_B(e),"Exchange/Demand"
EX_ala_L(e),"Exchange/Demand"
EX_asnasnarg(e),"Exchange/Demand"
EX_asp_L(e),"Exchange/Demand"
EX_bildglcur(e),"Exchange/Demand"
EX_bilglcur(e),"Exchange/Demand"
EX_citr_L(e),"Exchange/Demand"
EX_co(e),"Exchange/Demand"
EX_co2(e),"Exchange/Demand"
EX_crtstrn(e),"Exchange/Demand"
EX_dopasf(e),"Exchange/Demand"
EX_fol(e),"Exchange/Demand"
EX_gal(e),"Exchange/Demand"
EX_glcur(e),"Exchange/Demand"
EX_glu_L(e),"Exchange/Demand"
EX_h2o2(e),"Exchange/Demand"
EX_hista(e),"Exchange/Demand"
EX_homoval(e),"Exchange/Demand"
EX_ileargile(e),"Exchange/Demand"
EX_isomal(e),"Exchange/Demand"
EX_kynate(e),"Exchange/Demand"
EX_lac_L(e),"Exchange/Demand"
EX_mal_L(e),"Exchange/Demand"
EX_meoh(e),"Exchange/Demand"
EX_no(e),"Exchange/Demand"
EX_o2s(e),"Exchange/Demand"
EX_prgstrn(e),"Exchange/Demand"
EX_pyr(e),"Exchange/Demand"
EX_serglyglu(e),"Exchange/Demand"
EX_so4(e),"Exchange/Demand"
EX_thf(e),"Exchange/Demand"
EX_urate(e),"Exchange/Demand"
EX_valval(e),"Exchange/Demand"
FADDPle,"Vitamin B2 metabolism"
FADFADH2tm,"Transport, Mitochondrial"
FADH2ETC,"Oxidative phosphorylation"
FADte,"Transport, Extracellular"
FAE180,"Fatty acid elongation"
FAE200,"Fatty acid elongation"
FAE220,"Fatty acid elongation"
FAE240,"Fatty acid elongation"
FAE260,"Fatty acid elongation"
FALDtn,"Transport, Nuclear"
FBA,"Glycolysis/Gluconeogenesis"
FBA3,"Unassigned"
FCLTm,"Heme synthesis"
FCYTOB5OXRr,"Unassigned"
FCYTOB5OXRyr,"Unassigned"
FE2tm,"Transport, Mitochondrial"
FKYNH,"Tryptophan metabolism"
FMNALKPle,"Transport, Extracellular"
FMNAT,"Vitamin B2 metabolism"
FOLR2,"Folate metabolism"
FOLt2,"Transport, Extracellular"
FOLte,"Transport, Extracellular"
G6PDH2r,"Pentose phosphate pathway"
G6PPer,"Glycolysis/Gluconeogenesis"
G6Pt6er,"Transport, Endoplasmic reticular"
G6Pter,"Transport, Endoplasmic reticular"
GALM2,"Galactose metabolism"
GALU,"Galactose metabolism"
GALt1r,"Transport, Extracellular"
GALt2_2,"Transport, Extracellular"
GALt4_2,"Transport, Extracellular"
GAPD,"Glycolysis/Gluconeogenesis"
GCHOLAt,"Transport, Extracellular"
GCHOLAt2,"Transport, Extracellular"
GCHOLAt2e,"Transport, Extracellular"
GF6PTA,"Aminosugar metabolism"
GLCOASYNT,"Lysine metabolism"
GLCter,"Transport, Endoplasmic reticular"
GLCtg,"Transport, Golgi Apparatus"
GLNt4,"Transport, Extracellular"
GLUDC,"Glutamate metabolism"
GLUDym,"Glutamate metabolism"
GLUPROASCT1,"Transport, Extracellular"
GLUt2m,"Transport, Mitochondrial"
GLYALDORy,"Glycerophospholipid metabolism"
GLYC3Ptm,"Transport, Mitochondrial"
GLYC3Ptmc,"Transport, Mitochondrial"
GLYCK2,"Glyoxylate and dicarboxylate metabolism"
GLYCtm,"Transport, Mitochondrial"
GLYK,"Glycerophospholipid metabolism"
GLYKm,"Glycerophospholipid metabolism"
GLYt4,"Transport, Extracellular"
GLYtp,"Transport, Peroxisomal"
GND,"Pentose phosphate pathway"
GSNt,"Transport, Extracellular"
GSNt4,"Transport, Extracellular"
GTHO,"Glutathione metabolism"
GTHP,"Glutathione metabolism"
GTPGDPtm,"Transport, Mitochondrial"
GUACYC,"Nucleotide salvage pathway"
GUAD,"Nucleotide salvage pathway"
H2O2syn,"Tyrosine metabolism"
H2O2t,"Transport, Extracellular"
H2O2tp,"Transport, Peroxisomal"
H2Otg,"Transport, Golgi Apparatus"
H2Otn,"Transport, Nuclear"
H2Otp,"Transport, Peroxisomal"
H3K4DMET_2,"Histone modifications"
H3K4DMET_3,"Histone modifications"
H3K4MET_2,"Histone modifications"
H3K4MET_3,"Histone modifications"
HACD180,"Fatty acid elongation"
HACD200,"Fatty acid elongation"
HACD220,"Fatty acid elongation"
HACD240,"Fatty acid elongation"
HACD260,"Fatty acid elongation"
HAS1,"Hyaluronan metabolism"
HAS2,"Hyaluronan metabolism"
HCO3Ee,"Urea cycle"
HCO3Em,"Urea cycle"
HCO3_CLt,"Transport, Extracellular"
HCO3tm,"Transport, Mitochondrial"
HEX1,"Glycolysis/Gluconeogenesis"
HEXCCOAtr,"Transport, Endoplasmic reticular"
HISCITRtm,"Transport, Mitochondrial"
HISDC,"Histidine metabolism"
HISTAVESSEC,"Transport, Extracellular"
HISt4,"Transport, Extracellular"
HIStm,"Transport, Mitochondrial"
HMBS,"Heme synthesis"
HMGCOASim,"Cholesterol metabolism"
HMGCOAtm,"Transport, Mitochondrial"
HMGDH,"Glutathione metabolism"
HMGS,"Glutathione metabolism"
HOMOVALte,"Transport, Extracellular"
HOXG,"Heme synthesis"
HSD180,"Fatty acid elongation"
HSD200,"Fatty acid elongation"
HSD220,"Fatty acid elongation"
HSD240,"Fatty acid elongation"
HSD260,"Fatty acid elongation"
HSD3B11,"Steroid metabolism"
HSD3B11r,"Steroid metabolism"
HYALe,"Hyaluronan metabolism"
Htg,"Transport, Golgi Apparatus"
Htx,"Transport, Peroxisomal"
ICDHxrm,"Citric acid cycle"
ILEARGILEr,"Peptide metabolism"
ILEARGILEt,"Transport, Extracellular"
ILETAm,"Valine, leucine and isoleucine metabolism"
ILEt5m,"Transport, Mitochondrial"
IMAGH,"Unassigned"
INSt,"Transport, Extracellular"
INSt4,"Transport, Extracellular"
ITCOAL1m,"Unassigned"
ITCOALm,"Unassigned"
KCCt,"Transport, Extracellular"
KYNAKGAT,"Tryptophan metabolism"
KYNATESYN,"Tryptophan metabolism"
KYNATEtr,"Transport, Extracellular"
L2AADPL2AADP6SAtm,"Transport, Mitochondrial"
LACZe,"Galactose metabolism"
LALDD,"Pyruvate metabolism"
LARGEg,"Unknown"
LCTStg,"Transport, Extracellular"
LDH_Lp,"Pyruvate metabolism"
LEUt4,"Transport, Extracellular"
LHCYSTIN,"Methionine and cysteine metabolism"
LHCYSTINt,"Transport, Extracellular"
LPASE,"Glycerophospholipid metabolism"
LRAT2,"Vitamin A metabolism"
LSTO2r,"Cholesterol metabolism"
LYSt4,"Transport, Extracellular"
L_LACt4r_2,"Transport, Extracellular"
MALACONtm,"Transport, Mitochondrial"
MAL_Lte,"Transport, Extracellular"
MAN1PT2,"Fructose and mannose metabolism"
MAN6PI,"Fructose and mannose metabolism"
MANt4,"Transport, Extracellular"
MDHm,"Citric acid cycle"
MDRPD,"Arginine and proline metabolism"
ME1m,"Pyruvate metabolism"
ME2m,"Pyruvate metabolism"
MEOHt2,"Transport, Extracellular"
METAT,"Methionine and cysteine metabolism"
MI1PP,"Inositol phosphate metabolism"
MTAP,"Arginine and proline metabolism"
MTRI,"Arginine and proline metabolism"
NADH2_u10m,"Oxidative phosphorylation"
NADHtpu,"Transport, Peroxisomal"
NADtx,"Transport, Peroxisomal"
NAtm,"Transport, Peroxisomal"
NCKt,"Transport, Extracellular"
NCNt,"Transport, Extracellular"
NDP7er,"Nucleotide salvage pathway"
NDP7g,"Nucleotide salvage pathway"
NDPK1,"Nucleotide interconversions"
NDPK3,"Nucleotide interconversions"
NDPK6,"Nucleotide interconversions"
NDPK8,"Nucleotide interconversions"
NDPK9,"Nucleotide interconversions"
NH4tm,"Transport, Mitochondrial"
NH4tn,"Transport, Nuclear"
NH4tp,"Transport, Peroxisomal"
NH4tr,"Transport, Endoplasmic reticular"
NODe,"Transport, Extracellular"
NORANMT,"Tyrosine metabolism"
NOS1,"Arginine and proline metabolism"
NOS2,"Arginine and proline metabolism"
NRPPHRt4_2_r,"Transport, Extracellular"
NRPPHRtu,"Transport, Extracellular"
NTD10,"Nucleotide salvage pathway"
NTD2,"Nucleotide salvage pathway"
NTD3,"Nucleotide salvage pathway"
NTD6,"Nucleotide salvage pathway"
NTD7,"Nucleotide salvage pathway"
NTD7e,"Nucleotide salvage pathway"
NTD9,"Nucleotide salvage pathway"
NWHARGOR,"Arginine and proline metabolism"
O2St,"Transport, Extracellular"
O2tn,"Transport, Nuclear"
O2tp,"Transport, Peroxisomal"
OAAtn,"Transport, Nuclear"
OCBTm,"Urea cycle"
OCDE9ECOAtr,"Transport, Endoplasmic reticular"
ORNTArm,"Urea cycle"
ORNt4m,"Transport, Mitochondrial"
OXAHCOtex,"Transport, Extracellular"
OXALSUCCCLm,"Citric acid cycle"
OXOADLR,"Lysine metabolism"
P45011A1m,"Steroid metabolism"
P45011B11m,"Steroid metabolism"
P45021A1r,"Steroid metabolism"
PCFLOPm,"Transport, Mitochondrial"
PCHOLHSTDe,"Transport, Extracellular"
PCHOLPm_hs,"Glycerophospholipid metabolism"
PCOREM3terg,"Unknown"
PDE4,"Nucleotide salvage pathway"
PEFLIPm,"Transport, Mitochondrial"
PEMET1,"Sphingolipid metabolism"
PEMET2,"Sphingolipid metabolism"
PEPCK,"Glycolysis/Gluconeogenesis"
PETOHMm_hs,"Glycerophospholipid metabolism"
PE_HStm,"Transport, Mitochondrial"
PFK,"Glycolysis/Gluconeogenesis"
PFK_3,"Unassigned"
PGAM1_PhosHydro,"Unassigned"
PGK,"Glycolysis/Gluconeogenesis"
PGL,"Pentose phosphate pathway"
PGM,"Glycolysis/Gluconeogenesis"
PGMT,"Glycolysis/Gluconeogenesis"
PHEMEtm,"Transport, Mitochondrial"
PHETA1,"Phenylalanine metabolism"
PHEt4,"Transport, Extracellular"
PIATPLtm,"Transport, Mitochondrial"
PIGTHRDLtm,"Transport, Mitochondrial"
PIPLC,"Inositol phosphate metabolism"
PIt2e,"Transport, Extracellular"
PIt2m_2,"Transport, Mitochondrial"
PItg,"Transport, Golgi Apparatus"
PItn,"Transport, Nuclear"
PMANM,"Fructose and mannose metabolism"
POCDPRBTLT2g,"Unknown"
POCDPRBTLTg,"Unknown"
POGLCNACTg,"Unknown"
POMGNGALNTr,"Unknown"
POMGNTr,"Unknown"
POMKr,"Unknown"
POXYLTg,"Unknown"
PPABHBte,"Transport, Extracellular"
PPABUTte,"Transport, Extracellular"
PPAPA,"Glycerophospholipid metabolism"
PPARETNte,"Transport, Extracellular"
PPAer,"Unassigned"
PPAn,"Unassigned"
PPBNGS,"Heme synthesis"
PPDOy,"Pyruvate metabolism"
PPItm,"Transport, Mitochondrial"
PPM,"Pentose phosphate pathway"
PPM2,"Pentose phosphate pathway"
PPPG9tm,"Transport, Mitochondrial"
PPPGOm,"Heme synthesis"
PPROTPH,"Protein degradation"
PRDX,"Unassigned"
PRGNLONEtm,"Transport, Mitochondrial"
PRGNLONEtr,"Transport, Endoplasmic reticular"
PRGSTRNt,"Transport, Extracellular"
PROAKGOX1m,"Arginine and proline metabolism"
PROGLUtm,"Transport, Mitochondrial"
PROSTGE2t,"Transport, Extracellular"
PROt4,"Transport, Extracellular"
PROtm,"Transport, Mitochondrial"
PSDm_hs,"Glycerophospholipid metabolism"
PSFLIPm,"Transport, Mitochondrial"
PSSA2_hs,"Glycerophospholipid metabolism"
PTYRK,"Protein degradation"
PTYRPPH,"Protein degradation"
PUNP1,"Nucleotide salvage pathway"
PUNP2,"Nucleotide salvage pathway"
PUNP3,"Nucleotide salvage pathway"
PUNP7,"Nucleotide salvage pathway"
PYK,"Glycolysis/Gluconeogenesis"
PYK4,"Glycolysis/Gluconeogenesis"
PYRAKGte,"Transport, Extracellular"
PYRRETNte,"Transport, Extracellular"
PYRtm,"Transport, Mitochondrial"
RADH2,"Vitamin A metabolism"
RBFK,"Vitamin B2 metabolism"
RBT5PCYTr,"Unknown"
RBT5PDH,"Unknown"
RDH1,"Vitamin A metabolism"
RDH1a,"Vitamin A metabolism"
RDH3,"Vitamin A metabolism"
RETH1,"Vitamin A metabolism"
RIBFLVt6,"Transport, Extracellular"
RNAdeg,"Biomass"
RNMK,"NAD metabolism"
RPE,"Pentose phosphate pathway"
RTOT3,"R group synthesis"
RTOT4,"R group synthesis"
RTOT5,"R group synthesis"
R_group_phosphotase_1,"Unassigned"
SADT,"Nucleotide salvage pathway"
SERALANaEx,"Transport, Extracellular"
SERGLYGLUr,"Peptide metabolism"
SERGLYGLUt,"Transport, Extracellular"
SERTHRNaEx,"Transport, Extracellular"
SERt4,"Transport, Extracellular"
SFGTH,"Tyrosine metabolism"
SK_Ser/Thr[r],"Unknown"
SO4CLtex,"Transport, Extracellular"
SO4CLtex2,"Transport, Extracellular"
SO4HCOtex,"Transport, Extracellular"
SSALym,"Glutamate metabolism"
STPK,"Miscellaneous"
SUCOAS1m,"Citric acid cycle"
SUCOASm,"Citric acid cycle"
TECR180,"Fatty acid elongation"
TECR200,"Fatty acid elongation"
TECR220,"Fatty acid elongation"
TECR240,"Fatty acid elongation"
TECR260,"Fatty acid elongation"
THBPT4ACAMDASE,"Tetrahydrobiopetrin metabolism"
THFt2,"Transport, Extracellular"
THMDt4,"Transport, Extracellular"
THRt4,"Transport, Extracellular"
THYMDt1,"Transport, Extracellular"
TKT1,"Pentose phosphate pathway"
TKT2,"Pentose phosphate pathway"
TRPO2,"Tryptophan metabolism"
TYR3MO2,"Tyrosine metabolism"
TYRDOPO,"Tyrosine metabolism"
TYROX,"Tyrosine metabolism"
TYRTA,"Tyrosine metabolism"
UACGAMUMPtr,"Transport, Endoplasmic reticular"
UAG4E,"Aminosugar metabolism"
UAGDP,"Aminosugar metabolism"
UDPG4E,"Galactose metabolism"
UDPGALtg,"Transport, Golgi Apparatus"
UDPGD,"Starch and sucrose metabolism"
UDPGLCAter,"Transport, Endoplasmic reticular"
UDPGLCAtg,"Unknown"
UDPGLDCg,"Unknown"
UGALGTg,"Galactose metabolism"
UGALNACter,"Unknown"
UGLCNACtg,"Transport, Golgi Apparatus"
UGT1A10r,"Steroid metabolism"
UGT1A2r,"Steroid metabolism"
UMPK,"Nucleotide interconversions"
UMPtr,"Transport, Endoplasmic reticular"
UNK3,"Arginine and proline metabolism"
UPP3S,"Heme synthesis"
UPPDC1,"Heme synthesis"
URATEt,"Transport, Extracellular"
UREAt,"Transport, Extracellular"
URIK2,"Nucleotide salvage pathway"
URIK4,"Nucleotide salvage pathway"
URIt,"Transport, Extracellular"
URIt4,"Transport, Extracellular"
Uritn,"Transport, Nuclear"
VALTAm,"Valine, leucine and isoleucine metabolism"
VALVALr,"Peptide metabolism"
VALVALt,"Transport, Extracellular"
VALt5m,"Transport, Mitochondrial"
XAND,"Nucleotide salvage pathway"
XAO,"Nucleotide salvage pathway"
ZN2te,"Transport, Extracellular"
ZNte,"Transport, Extracellular"
Zn2t,"Transport, Extracellular"
