Reaction,Subsystem
10FTHFtm,"Transport, Mitochondrial"
11DOCRTSLtm,"Transport, Mitochondrial"
11DOCRTSLtr,"Transport, Endoplasmic reticular"
2AMACHYD,"Glycine, serine and threonine metabolism"
2AMACSULT,"Methionine and cysteine metabolism"
2HBACACte,"Transport, Extracellular"
34DHOXPEGOX,"Tyrosine metabolism"
34DHOXPEGt,"Transport, Extracellular"
34DHPHAMT,"Tyrosine metabolism"
34DHPLACOX,"Tyrosine metabolism"
34DHPLACOXy,"Tyrosine metabolism"
3HAD224n6p,"Fatty acid oxidation"
3HDH224n6p,"Fatty acid oxidation"
3HGLUTCOAm,"Lysine metabolism"
3HLYTCL,"Tyrosine metabolism"
3MLDAt,"Transport, Extracellular"
3MOBt2im,"Transport, Mitochondrial"
3MOBte,"Transport, Extracellular"
3MOPt2im,"Transport, Mitochondrial"
3MOPte,"Transport, Extracellular"
3OHGLUTACOAT3t,"Transport, Extracellular"
3OHGLUTACm,"Lysine metabolism"
3OHGLUTACtm,"Transport, Mitochondrial"
42A12BOOX,"Tyrosine metabolism"
4HPROLTASCT1,"Transport, Extracellular"
4MPTNLte,"Transport, Extracellular"
4MPTNLtm,"Transport, Mitochondrial"
4OHPROIMINOtc,"Transport, Extracellular"
5AOPtm,"Transport, Mitochondrial"
5MTHFt2,"Transport, Extracellular"
AACOAT,"Propanoate metabolism"
AAPSAS,"Lysine metabolism"
AATA,"Lysine metabolism"
ACACT1r,"Tryptophan metabolism"
ACACT224n6p,"Fatty acid oxidation"
ACCOAL2,"Fatty acid synthesis"
ACFORte,"Transport, Extracellular"
ACGAM6PSi,"Aminosugar metabolism"
ACGAMK,"Aminosugar metabolism"
ACGAMPM,"Aminosugar metabolism"
ACGAMtly,"Transport, Lysosomal"
ACHtn,"Transport, Nuclear"
ACITL,"Citric acid cycle"
ACITLn,"Citric acid cycle"
ACLACte,"Transport, Extracellular"
ACNAM9PL,"Aminosugar metabolism"
ACNAMPH,"Aminosugar metabolism"
ACNAMlt,"Transport, Lysosomal"
ACOAS,"Fatty acid synthesis"
ACOATE80m,"Fatty acid oxidation"
ACOD,"Unassigned"
ACONTbm,"Citric acid cycle"
ACRNtm,"Transport, Mitochondrial"
ADPT,"Nucleotide salvage pathway"
ADPt4,"Transport, Mitochondrial"
ADPtn,"Transport, Nuclear"
ADSK,"Nucleotide salvage pathway"
AG13T1g,"Keraton sulfate synthesis"
AG13T2g,"Keraton sulfate synthesis"
AG13T3g,"Keraton sulfate synthesis"
AHC,"Methionine and cysteine metabolism"
AHCYStn,"Transport, Nuclear"
AKGACONtm,"Transport, Mitochondrial"
AKGDa1,"Citric acid cycle"
AKGDa2,"Citric acid cycle"
AKGDb,"Citric acid cycle"
AKGGHTRDtm,"Transport, Mitochondrial"
AKGMALtm,"Transport, Mitochondrial"
AKGSUCCtm,"Transport, Mitochondrial"
AKGtn,"Transport, Nuclear"
ALAR,"Alanine and aspartate metabolism"
ALASm,"Glycine, serine and threonine metabolism"
ALATA_L,"Glutamate metabolism"
ALAt4,"Transport, Extracellular"
ALCD1,"Unassigned"
ALCD22_D,"Pyruvate metabolism"
ALDD19x,"Phenylalanine metabolism"
ALDD2x,"Pyruvate metabolism"
ALDD2y,"Pyruvate metabolism"
AMANK,"Aminosugar metabolism"
AMETEPMT,"Glycerophospholipid metabolism"
AMETt2m,"Transport, Mitochondrial"
AMETtn,"Transport, Nuclear"
AMPDA,"Nucleotide salvage pathway"
AMPt4,"Transport, Mitochondrial"
ARACHDCOAtr,"Transport, Endoplasmic reticular"
ARCOAATp,"Carnitine metabolism"
ARGCITRt2m,"Transport, Mitochondrial"
ARGHIStm,"Transport, Mitochondrial"
ARGN,"Urea cycle"
ARGORNtm,"Transport, Mitochondrial"
ARGtm,"Transport, Mitochondrial"
ARTFR42,"R group synthesis"
ARTFR45,"R group synthesis"
ARTFR52,"R group synthesis"
ASCBt5,"Transport, Extracellular"
ASCBtr,"Transport, Extracellular"
ASNN,"Alanine and aspartate metabolism"
ASNt4,"Transport, Extracellular"
ASPTA,"Alanine and aspartate metabolism"
ATP1ter,"Transport, Endoplasmic reticular"
ATPtm,"Transport, Mitochondrial"
ATPtn,"Transport, Nuclear"
B3GALT44g,"Sphingolipid metabolism"
B3GALTg,"Blood group synthesis"
B3GNT39g,"Sphingolipid metabolism"
B3GNT51g,"Blood group synthesis"
BDMT,"N-glycan synthesis"
BILGLCURt,"Transport, Extracellular"
BILGLCURt5e,"Transport, Extracellular"
BILGLCURtr,"Transport, Endoplasmic reticular"
BILIRED,"Heme synthesis"
BILIRUBtr,"Transport, Endoplasmic reticular"
BPNT,"Nucleotide salvage pathway"
BUTt2m,"Transport, Mitochondrial"
C204CPT1,"Carnitine metabolism"
CAATPS,"Transport, Extracellular"
CACT6r,"Transport, Endoplasmic reticular"
CACT7p,"Transport, Mitochondrial"
CAtm7,"Transport, Mitochondrial"
CBPPer,"Glycolysis/Gluconeogenesis"
CBPSam,"Glutamate metabolism"
CBPter,"Transport, Endoplasmic reticular"
CDPDAGtm,"Transport, Mitochondrial"
CDPRBTLtg,"Unknown"
CDPtg,"Unknown"
CDSm,"Glycerophospholipid metabolism"
CEPTC,"Glycerophospholipid metabolism"
CEPTE,"Glycerophospholipid metabolism"
CERT2gt,"Transport, Golgi Apparatus"
CHAT,"Glycerophospholipid metabolism"
CHATn,"Glycerophospholipid metabolism"
CHLPCTD,"Glycerophospholipid metabolism"
CHLtm,"Transport, Mitochondrial"
CHOLATEt,"Transport, Extracellular"
CHOLATEt2,"Transport, Extracellular"
CHOLESTTDe,"Transport, Extracellular"
CHOLK,"Glycerophospholipid metabolism"
CHOLtg,"Transport, Golgi Apparatus"
CHOLtn,"Transport, Nuclear"
CHOLtr,"Transport, Endoplasmic reticular"
CHSTEROLt,"Transport, Extracellular"
CITMCOAHm,"Pyruvate metabolism"
CITMCOALm,"Pyruvate metabolism"
CITRte,"Transport, Extracellular"
CITRtm,"Transport, Mitochondrial"
CITt4_2,"Transport, Extracellular"
CITt4_3,"Transport, Extracellular"
CITtn,"Transport, Nuclear"
CK,"Urea cycle"
CLFORtex,"Transport, Extracellular"
CLHCO3tex2,"Transport, Extracellular"
CLOHtex2,"Transport, Extracellular"
CMPACNAtg,"Transport, Golgi Apparatus"
CMPSAS,"Aminosugar metabolism"
CO2t,"Transport, Extracellular"
CO2tg,"Unknown"
CO2tn,"Transport, Nuclear"
COAtp,"Transport, Peroxisomal"
CORE2GTg,"O-glycan synthesis"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CREATtmdiffir,"Transport, Mitochondrial"
CRNCARtp,"Transport, Peroxisomal"
CRNtr,"Transport, Endoplasmic reticular"
CRTNsyn,"Urea cycle"
CRTNte,"Transport, Extracellular"
CRTSLt,"Transport, Extracellular"
CRTSLtm,"Transport, Mitochondrial"
CSNATm,"Carnitine metabolism"
CSNATp,"Carnitine metabolism"
CSNATr,"Carnitine metabolism"
CTPtm,"Transport, Mitochondrial"
CYSDDS,"Methionine and cysteine metabolism"
CYSt4,"Transport, Extracellular"
CYTDn,"Nucleotide salvage pathway"
CYTDt,"Transport, Extracellular"
CYTDt4,"Transport, Extracellular"
CYTDtn,"Transport, Nuclear"
CYTK1,"Nucleotide interconversions"
DADK3,"Nucleotide interconversions"
DALAOXx,"Miscellaneous"
DALAxt,"Transport, Peroxisomal"
DASCBR,"Vitamin C metabolism"
DESAT16_1,"Fatty acid desaturation"
DESAT18_1,"Fatty acid desaturation"
DGCHOLt2e,"Transport, Extracellular"
DGCHOLte,"Transport, Extracellular"
DHCR242r,"Cholesterol metabolism"
DHCRD1,"Sphingolipid metabolism"
DHFR3m,"Folate metabolism"
DHFR3x,"Folate metabolism"
DHFRm,"Folate metabolism"
DHFRx,"Folate metabolism"
