Reaction,Subsystem
11DOCRTSTRNtm,"Transport, Mitochondrial"
11DOCRTSTRNtr,"Transport, Endoplasmic reticular"
2HBBUTte,"Transport, Extracellular"
2HBLACte,"Transport, Extracellular"
2HBPPAte,"Transport, Extracellular"
34DHOXMANDte,"Transport, Extracellular"
34DHXMANDACOX,"Tyrosine metabolism"
34DHXMANDACOXy,"Tyrosine metabolism"
41R2A1H12BOOX,"Tyrosine metabolism"
4ABUTtm,"Transport, Mitochondrial"
4HPRO_LTte,"Transport, Extracellular"
4OHBUTm,"Glutamate metabolism"
4OHBUTtce,"Transport, Extracellular"
4OHBUTtmc,"Transport, Mitochondrial"
ABTArm,"Glutamate metabolism"
ABUTt2r,"Transport, Extracellular"
ABUTt4_2_r,"Transport, Extracellular"
ACACT1rm,"Tryptophan metabolism"
ACALDt,"Transport, Extracellular"
ACBHBte,"Transport, Extracellular"
ACBUTte,"Transport, Extracellular"
ACONTam,"Citric acid cycle"
ACONTb,"Citric acid cycle"
ACRETNte,"Transport, Extracellular"
ACt2m,"Transport, Mitochondrial"
ADK1,"Nucleotide interconversions"
ADMDC,"Arginine and proline metabolism"
ADNK1,"Nucleotide salvage pathway"
ADNK3,"Nucleotide salvage pathway"
ADNt4,"Transport, Extracellular"
ADRNLPVESSEC,"Transport, Extracellular"
AKGICITtm,"Transport, Mitochondrial"
ALABte,"Transport, Extracellular"
ALCD21_D,"Pyruvate metabolism"
ALCD21_L,"Pyruvate metabolism"
ALDD19y,"Phenylalanine metabolism"
ALR2,"Pyruvate metabolism"
ALR3,"Pyruvate metabolism"
ARTFR32,"R group synthesis"
ASNASNARGr,"Peptide metabolism"
ASNASNARGt,"Transport, Extracellular"
ASP1DC,"B-alanine metabolism"
ASPGLUm,"Transport, Mitochondrial"
ASPPROASCT1,"Transport, Extracellular"
ASPTAm,"Alanine and aspartate metabolism"
ASPt6,"Transport, Extracellular"
BAMPPALDOX,"B-alanine metabolism"
BHB2HBte,"Transport, Extracellular"
BHBACACte,"Transport, Extracellular"
BHBRETNte,"Transport, Extracellular"
BILDGLCURt,"Transport, Extracellular"
BILDGLCURtr,"Transport, Endoplasmic reticular"
BILIRED2,"Heme synthesis"
BUTACACte,"Transport, Extracellular"
BUTBHBte,"Transport, Extracellular"
CAt7r,"Transport, Extracellular"
CDS,"Glycerophospholipid metabolism"
CHOLPtr,"Transport, Extracellular"
CHOLtu,"Transport, Extracellular"
CHSTEROLt2,"Transport, Mitochondrial"
CITte,"Transport, Extracellular"
CLCFTRte,"Transport, Extracellular"
CLFORtex2,"Transport, Extracellular"
CLHCOtex,"Transport, Extracellular"
CLOXAtex2,"Transport, Extracellular"
COAtm,"Transport, Mitochondrial"
CRNtHa,"Transport, Extracellular"
CRNtim,"Transport, Mitochondrial"
CRNtuNa,"Transport, Extracellular"
CRTSTRNt,"Transport, Extracellular"
CRTSTRNtm,"Transport, Mitochondrial"
CYSGLTH,"Methionine and cysteine metabolism"
CYSRED,"Methionine and cysteine metabolism"
CYTK3,"Nucleotide interconversions"
DAGt,"Transport, Extracellular"
DHCR241r,"Cholesterol metabolism"
DHCRD2,"Sphingolipid metabolism"
DHPR,"Tetrahydrobiopetrin metabolism"
DKMPPD1,"Methionine and cysteine metabolism"
DKMPPD3,"Methionine and cysteine metabolism"
DOPASFt,"Transport, Extracellular"
DOPASULT,"Tyrosine metabolism"
DOPAt4_2_r,"Transport, Extracellular"
DOPAtu,"Transport, Extracellular"
EBP2r,"Cholesterol metabolism"
EX_34dhoxmand(e),"Exchange/Demand"
EX_4hpro(e),"Exchange/Demand"
EX_4ohbut(e),"Exchange/Demand"
EX_acald(e),"Exchange/Demand"
EX_acgam(e),"Exchange/Demand"
EX_adrnl(e),"Exchange/Demand"
EX_ala_B(e),"Exchange/Demand"
EX_ala_L(e),"Exchange/Demand"
EX_asnasnarg(e),"Exchange/Demand"
EX_bildglcur(e),"Exchange/Demand"
EX_crtstrn(e),"Exchange/Demand"
EX_dopasf(e),"Exchange/Demand"
EX_glcur(e),"Exchange/Demand"
EX_hista(e),"Exchange/Demand"
EX_kynate(e),"Exchange/Demand"
EX_no(e),"Exchange/Demand"
EX_o2s(e),"Exchange/Demand"
EX_prgstrn(e),"Exchange/Demand"
EX_serglyglu(e),"Exchange/Demand"
FADDPle,"Vitamin B2 metabolism"
FADH2ETC,"Oxidative phosphorylation"
FADte,"Transport, Extracellular"
FCYTOB5OXRyr,"Unassigned"
FKYNH,"Tryptophan metabolism"
FMNALKPle,"Transport, Extracellular"
FMNAT,"Vitamin B2 metabolism"
G6PDH2r,"Pentose phosphate pathway"
GLCtg,"Transport, Golgi Apparatus"
GLUDC,"Glutamate metabolism"
GLUPROASCT1,"Transport, Extracellular"
GLYALDORy,"Glycerophospholipid metabolism"
GLYCK2,"Glyoxylate and dicarboxylate metabolism"
GLYCtm,"Transport, Mitochondrial"
GLYK,"Glycerophospholipid metabolism"
GLYKm,"Glycerophospholipid metabolism"
GLYtp,"Transport, Peroxisomal"
GND,"Pentose phosphate pathway"
