Reaction,log_fc,p_value,adj_p_val,Fluxes
10FTHF5GLUtl,0,1,1,Unchanged
10FTHF5GLUtm,0,1,1,Unchanged
10FTHF6GLUtl,0,1,1,Unchanged
10FTHF6GLUtm,0,1,1,Unchanged
10FTHF7GLUtl,0,1,1,Unchanged
10FTHF7GLUtm,0,1,1,Unchanged
10FTHFtl,0,1,1,Unchanged
10FTHFtm,-1.774498823,0.363850066,1,Unchanged
11DOCRTSLtm,0,1,1,Unchanged
11DOCRTSLtr,0,1,1,Unchanged
11DOCRTSTRNtm,0,1,1,Unchanged
11DOCRTSTRNtr,0,1,1,Unchanged
12HPETATP,0.000301993,0.235361541,1,Unchanged
12HPETUPKt,0,1,1,Unchanged
13DAMPPOX,0,1,1,Unchanged
15HPETATP,3.997513036,0.053654776,0.895635394,Unchanged
15HPETUPKt,0,1,1,Unchanged
15KPROSTGF2c,0,1,1,Unchanged
15KPROSTGF2t,0,1,1,Unchanged
1a_24_25VITD3Hm,0.000270949,0.635026324,1,Unchanged
1a_25VITD3Hm,0.000159031,0.635026324,1,Unchanged
1a25DHVITD3TRn,0.000433423,0.635026324,1,Unchanged
1MNCAMti,0,1,1,Unchanged
1PPDCRp,6.71E-05,0.812399153,1,Unchanged
21HPRGNLONE,0,1,1,Unchanged
21HPRGNLONEt1,0,1,1,Unchanged
21HPRGNLONEt2,0,1,1,Unchanged
24_25DHVITD3t,0,1,1,Unchanged
24_25DHVITD3tm,0,1,1,Unchanged
24_25VITD3Hm,0.000270949,0.635026324,1,Unchanged
25DHBDH,0,1,1,Unchanged
25DHBO,0,1,1,Unchanged
25HVITD3c,0.000433423,0.635026324,1,Unchanged
25HVITD3t,1.583748552,0.489340116,1,Unchanged
25HVITD3tm,-0.000430079,0.635026324,1,Unchanged
25VITD3Hm,0.000159031,0.635026324,1,Unchanged
2AMACHYD,4.200058693,0.627688399,1,Unchanged
2AMACSULT,-0.266908902,0.326945554,1,Unchanged
2AMADPTm,-0.000838517,1,1,Unchanged
2AOBUTtm,-1.522757829,0.114387796,1,Unchanged
2DR1PP,0,1,1,Unchanged
2H3MVc,0,1,1,Unchanged
2H3MVte,0,1,1,Unchanged
2HBACACte,0,1,1,Unchanged
2HBACte,0,1,1,Unchanged
2HBBUTte,0,1,1,Unchanged
2HBFORte,0,1,1,Unchanged
2HBLACte,0,1,1,Unchanged
2HBO,0,1,1,Unchanged
2HBPPAte,0,1,1,Unchanged
2HBPYRte,0,1,1,Unchanged
2HBRETNte,0,1,1,Unchanged
2HBt2,1.348136885,0.991766945,1,Unchanged
2HIVc,0,1,1,Unchanged
2HIVte,0,1,1,Unchanged
2HYOXPLCte,-0.012353932,0.302128926,1,Unchanged
2M3HBUc,0,1,1,Unchanged
2M3HBUte,0,1,1,Unchanged
2M3HBUtm,0,1,1,Unchanged
2M3HVACc,0,1,1,Unchanged
2M3HVACte,0,1,1,Unchanged
2M3OVACm,0,1,1,Unchanged
2M3OVACtm,0,1,1,Unchanged
2M3OVCOAm,0,1,1,Unchanged
2MCITt,0.007707091,0.476467048,1,Unchanged
2OBUTt2m,-0.003857391,0.605896755,1,Unchanged
2OBUTtm,-4.850115345,0.764753242,1,Unchanged
2OXOADPTm,0.000905126,0.812399153,1,Unchanged
335TRITHYRt5e,-0.00041308,0.635026324,1,Unchanged
34DHMORx,-0.780320309,0.591559873,1,Unchanged
34DHMORy,-0.780320309,0.591559873,1,Unchanged
34DHOXMANDte,0.634892646,0.064738018,0.967880281,Unchanged
34DHOXPEGOX,-3.62684223,0.247802174,1,Unchanged
34DHOXPEGt,-3.62684223,0.247802174,1,Unchanged
34DHPHAMT,-0.431761722,0.901453482,1,Unchanged
34DHPHELAT1tc,0,1,1,Unchanged
34DHPHEt,0,1,1,Unchanged
34DHPLACOX,0.421365876,0.812399153,1,Unchanged
34DHPLACOXy,-1.077801754,0.672243983,1,Unchanged
34DHXMANDACOX,1.341490661,0.046423093,0.790265063,Unchanged
