Reaction,Subsystem
2HBACte,"Transport, Extracellular"
2HBBUTte,"Transport, Extracellular"
2HBRETNte,"Transport, Extracellular"
2M3HVACc,"Propanoate metabolism"
2M3HVACte,"Transport, Extracellular"
2M3OVACm,"Propanoate metabolism"
2M3OVACtm,"Transport, Mitochondrial"
2M3OVCOAm,"Propanoate metabolism"
3HAD224n6p,"Fatty acid oxidation"
3HAD244n6p,"Fatty acid oxidation"
3HDH241n9p,"Fatty acid oxidation"
3HDH244n6p,"Fatty acid oxidation"
3MHISt3,"Transport, Extracellular"
5HTRPDOX,"Tryptophan metabolism"
ACACT224n6p,"Fatty acid oxidation"
ACACT244n6p,"Fatty acid oxidation"
ACGAM6PSi,"Aminosugar metabolism"
ACGAMPM,"Aminosugar metabolism"
ACGAMtly,"Transport, Lysosomal"
ACLACte,"Transport, Extracellular"
ACNAMlt,"Transport, Lysosomal"
ACNMLr,"Aminosugar metabolism"
ACOAD224n6p,"Fatty acid oxidation"
ACOAD244n6p,"Fatty acid oxidation"
ACYP,"Glycolysis/Gluconeogenesis"
ADPOHc,"Lysine metabolism"
ADPOHt,"Transport, Extracellular"
ADPtn,"Transport, Nuclear"
ADSK,"Nucleotide salvage pathway"
AG13T10g,"Keraton sulfate synthesis"
AG13T11g,"Keraton sulfate synthesis"
AG13T12g,"Keraton sulfate synthesis"
AG13T13g,"Keraton sulfate synthesis"
AG13T14g,"Keraton sulfate synthesis"
AG13T15g,"Keraton sulfate synthesis"
AG13T16g,"Keraton sulfate synthesis"
AG13T17g,"Keraton sulfate synthesis"
AG13T18g,"Keraton sulfate synthesis"
AG13T4g,"Keraton sulfate synthesis"
AG13T5g,"Keraton sulfate synthesis"
AG13T6g,"Keraton sulfate synthesis"
AG13T7g,"Keraton sulfate synthesis"
AG13T8g,"Keraton sulfate synthesis"
AG13T9g,"Keraton sulfate synthesis"
AKGACte,"Transport, Extracellular"
AKGSUCCtm,"Transport, Mitochondrial"
ALAR,"Alanine and aspartate metabolism"
ALA_DTDe,"Transport, Extracellular"
ALDD21,"Fatty acid oxidation"
ALDD21x,"Fatty acid oxidation"
ALDD2y,"Pyruvate metabolism"
AM6SAD,"Tryptophan metabolism"
AMCOXO,"Tryptophan metabolism"
ARCOAATp,"Carnitine metabolism"
ARCOAATr,"Carnitine metabolism"
ARTFR42,"R group synthesis"
ARTFR43,"R group synthesis"
ARTFR45,"R group synthesis"
ASPPROASCT1,"Transport, Extracellular"
ATPtn,"Transport, Nuclear"
BDMT,"N-glycan synthesis"
BILDGLCURt5e,"Transport, Extracellular"
BILGLCURt5e,"Transport, Extracellular"
BILIRED2,"Heme synthesis"
BILIRUBt2,"Transport, Extracellular"
BILIRUBte,"Transport, Extracellular"
