Reaction,Subsystem
CYSTGL,"Methionine and cysteine metabolism"
CYSTS,"Methionine and cysteine metabolism"
CYSt4,"Transport, Extracellular"
CYTDt,"Transport, Extracellular"
CYTDt4,"Transport, Extracellular"
D3AIBTm,"Nucleotide salvage pathway"
DAD2te,"Transport, Extracellular"
DADNt4,"Transport, Extracellular"
DAGKm_hs,"Glycerophospholipid metabolism"
DAG_Hstem,"Transport, Endoplasmic reticular"
DAGt,"Transport, Extracellular"
DASCBR,"Vitamin C metabolism"
DCYTt,"Transport, Extracellular"
DCYTte,"Transport, Extracellular"
DESAT16_1,"Fatty acid desaturation"
DESAT18_1,"Fatty acid desaturation"
DGSNt,"Transport, Extracellular"
DGSNte,"Transport, Extracellular"
DHCHOLOR,"Bile acid synthesis"
DHCR241r,"Cholesterol metabolism"
DHCR242r,"Cholesterol metabolism"
DHEASt,"Transport, Extracellular"
DHEASt5e,"Transport, Extracellular"
DHPM1,"Nucleotide salvage pathway"
DHPM2,"Nucleotide salvage pathway"
DHPR,"Tetrahydrobiopetrin metabolism"
DHPRy,"Tetrahydrobiopetrin metabolism"
DHRT_2mbcoa,"Valine, leucine and isoleucine metabolism"
DHRT_ibcoa,"Valine, leucine and isoleucine metabolism"
DLD,"Glycine, serine and threonine metabolism"
DMGDHm,"Glycine, serine and threonine metabolism"
DMGtm,"Transport, Mitochondrial"
DM_2mbgly[c],"Exchange/Demand"
DM_ibgly[n],"Exchange/Demand"
DNPH4,"Nucleotide salvage pathway"
DOPABMO,"Tyrosine metabolism"
DPGM,"Glycolysis/Gluconeogenesis"
DRPA,"Pentose phosphate pathway"
DURAD,"Nucleotide salvage pathway"
DURAD2xm,"Nucleotide salvage pathway"
DURIPP,"Nucleotide salvage pathway"
DURIt,"Transport, Extracellular"
DURIt3e,"Transport, Extracellular"
DUTCP,"Nucleotide salvage pathway"
EBP2r,"Cholesterol metabolism"
ECOAH1m,"Tryptophan metabolism"
ENO,"Glycolysis/Gluconeogenesis"
ESTRADIOLtr,"Transport, Endoplasmic reticular"
ESTRONESt2,"Transport, Extracellular"
ESTRONESt5e,"Transport, Extracellular"
ESTRONEtr,"Transport, Endoplasmic reticular"
ETHPL,"Glycerophospholipid metabolism"
EX_2mcit(e),"Exchange/Demand"
EX_335trithyr(e),"Exchange/Demand"
EX_34dhoxpeg(e),"Exchange/Demand"
EX_3ohglutac(e),"Exchange/Demand"
EX_ac(e),"Exchange/Demand"
EX_asp_L(e),"Exchange/Demand"
EX_bildglcur(e),"Exchange/Demand"
EX_bilglcur(e),"Exchange/Demand"
EX_cit(e),"Exchange/Demand"
EX_citr_L(e),"Exchange/Demand"
EX_co(e),"Exchange/Demand"
EX_co2(e),"Exchange/Demand"
EX_cys_L(e),"Exchange/Demand"
EX_for(e),"Exchange/Demand"
EX_glu_L(e),"Exchange/Demand"
EX_gly(e),"Exchange/Demand"
EX_glyc(e),"Exchange/Demand"
EX_glyhisasn(e),"Exchange/Demand"
EX_h2o2(e),"Exchange/Demand"
EX_i(e),"Exchange/Demand"
EX_isomal(e),"Exchange/Demand"
EX_kynate(e),"Exchange/Demand"
EX_lac_L(e),"Exchange/Demand"
EX_mal_L(e),"Exchange/Demand"
EX_meoh(e),"Exchange/Demand"
EX_ncam(e),"Exchange/Demand"
EX_oxa(e),"Exchange/Demand"
EX_ppiogly(e),"Exchange/Demand"
EX_pyr(e),"Exchange/Demand"
EX_ser_L(e),"Exchange/Demand"
EX_tyr_L(e),"Exchange/Demand"
EX_urea(e),"Exchange/Demand"
FACOAL100im,"Fatty acid activation"
FADFADH2tm,"Transport, Mitochondrial"
FAE180,"Fatty acid elongation"
FAE181,"Fatty acid elongation"
FAE200,"Fatty acid elongation"
FAE220,"Fatty acid elongation"
FAE240,"Fatty acid elongation"
FAE260,"Fatty acid elongation"
FALDtm,"Transport, Mitochondrial"
FALDtn,"Transport, Nuclear"
FALDtx,"Transport, Mitochondrial"
FATP1t,"Transport, Extracellular"
FATP9t,"Transport, Extracellular"
FBA,"Glycolysis/Gluconeogenesis"
FBA2,"Fructose and mannose metabolism"
FBA3,"Unassigned"
FCLTm,"Heme synthesis"
FCYTOB5OXRr,"Unassigned"
FE2tm,"Transport, Mitochondrial"
FKYNH,"Tryptophan metabolism"
FORBHBte,"Transport, Extracellular"
FORPPAte,"Transport, Extracellular"
FTCD,"Folate metabolism"
FUMAC,"Tyrosine metabolism"
GALK,"Galactose metabolism"
GALM2,"Galactose metabolism"
GALU,"Galactose metabolism"
GAPD,"Glycolysis/Gluconeogenesis"
GCALDD,"Glyoxylate and dicarboxylate metabolism"
GCALDDm,"Glyoxylate and dicarboxylate metabolism"
GCHOLAt2,"Transport, Extracellular"
GLCOASYNT,"Lysine metabolism"
GLNt4,"Transport, Extracellular"
GLUDxm,"Glutamate metabolism"
GLUt2m,"Transport, Mitochondrial"
GLUt6,"Transport, Extracellular"
GLXO2p,"Glyoxylate and dicarboxylate metabolism"
GLXtm,"Transport, Mitochondrial"
GLXtp,"Transport, Peroxisomal"
GLYACT2,"Glycine, serine and threonine metabolism"
GLYACT3,"Glycine, serine and threonine metabolism"
GLYALDORy,"Glycerophospholipid metabolism"
GLYBtm,"Transport, Mitochondrial"
GLYCLTtm,"Transport, Mitochondrial"
GLYCLTtp,"Transport, Peroxisomal"
GLYCTO1p,"Glyoxylate and dicarboxylate metabolism"
GLYCt,"Transport, Extracellular"
GLYHISASNr,"Peptide metabolism"
GLYHISASNt,"Transport, Extracellular"
GLYOp,"Glycine, serine and threonine metabolism"
GLYt4,"Transport, Extracellular"
GLYtm,"Transport, Mitochondrial"
GLYtp,"Transport, Peroxisomal"
GTPGDPtm,"Transport, Mitochondrial"
GluForTx,"Histidine metabolism"
H2O2tp,"Transport, Peroxisomal"
H2Otp,"Transport, Peroxisomal"
H3K4DMET_1,"Histone modifications"
H3K4MET_1,"Histone modifications"
HACD180,"Fatty acid elongation"
HACD181,"Fatty acid elongation"
HACD1m,"Tryptophan metabolism"
HACD200,"Fatty acid elongation"
HACD220,"Fatty acid elongation"
HACD240,"Fatty acid elongation"
HACD260,"Fatty acid elongation"
HCO3Em,"Urea cycle"
HCO3_CLt,"Transport, Extracellular"
HEX1,"Glycolysis/Gluconeogenesis"
HEX11,"Glycolysis/Gluconeogenesis"
HEX12,"Glycolysis/Gluconeogenesis"
HEX7,"Fructose and mannose metabolism"
HEXCCOAtr,"Transport, Endoplasmic reticular"
HGNTOR,"Tyrosine metabolism"
HISCITRtm,"Transport, Mitochondrial"
HISD,"Histidine metabolism"
HISt4,"Transport, Extracellular"
HKYNH,"Tryptophan metabolism"
HMBS,"Heme synthesis"
HMGCOASim,"Cholesterol metabolism"
HMGCOAtm,"Transport, Mitochondrial"
HMGCOAtx,"Transport, Peroxisomal"
HOXG,"Heme synthesis"
HPROym,"Arginine and proline metabolism"
HPYRDC,"Glyoxylate and dicarboxylate metabolism"
HPYRDCm,"Glyoxylate and dicarboxylate metabolism"
HPYRtp,"Transport, Peroxisomal"
HSD17B1,"Steroid metabolism"
HSD17B8r,"Steroid metabolism"
HSD180,"Fatty acid elongation"
HSD181,"Fatty acid elongation"
HSD200,"Fatty acid elongation"
HSD220,"Fatty acid elongation"
HSD240,"Fatty acid elongation"
HSD260,"Fatty acid elongation"
Htx,"Transport, Peroxisomal"
ICDHyrm,"Citric acid cycle"
ICITACONtm,"Transport, Mitochondrial"
IDHPOXOX2b,"Tyrosine metabolism"
IDHPOXOX3,"Tyrosine metabolism"
IDHPOXOXb,"Tyrosine metabolism"
ILETAm,"Valine, leucine and isoleucine metabolism"
ILEt4,"Transport, Extracellular"
ILEt5m,"Transport, Mitochondrial"
IMAGH,"Unassigned"
ITCOAL1m,"Unassigned"
IZPN,"Histidine metabolism"
It,"Transport, Extracellular"
KCCt,"Transport, Extracellular"
KHK,"Fructose and mannose metabolism"
KYN3OX,"Tryptophan metabolism"
KYNAKGAT,"Tryptophan metabolism"
KYNATESYN,"Tryptophan metabolism"
KYNATEtr,"Transport, Extracellular"
LACRETNte,"Transport, Extracellular"
LALDD,"Pyruvate metabolism"
LCADi_D,"Pyruvate metabolism"
LDH_D,"Pyruvate metabolism"
LEUKTRC4t,"Transport, Extracellular"
LEUKTRC4t5e,"Transport, Extracellular"
LEUKTRD4t,"Transport, Extracellular"
LEUKTRE4t,"Transport, Extracellular"
LKTD4PEP,"Eicosanoid metabolism"
LSTO2r,"Cholesterol metabolism"
LTD4DP,"Eicosanoid metabolism"
LYStm,"Transport, Mitochondrial"
L_LACtcm,"Transport, Mitochondrial"
L_LACtm,"Transport, Mitochondrial"
MACACIr,"Tyrosine metabolism"
MALACONtm,"Transport, Mitochondrial"
MAL_Lte,"Transport, Extracellular"
MCITS,"Propanoate metabolism"
MEOHt2,"Transport, Extracellular"
METAT,"Methionine and cysteine metabolism"
METt4,"Transport, Extracellular"
MI1PP,"Inositol phosphate metabolism"
MMMm,"Valine, leucine and isoleucine metabolism"
MMSAD3m,"Propanoate metabolism"
MMTSADm,"Valine, leucine and isoleucine metabolism"
MOD_2mhop,"Valine, leucine and isoleucine metabolism"
NADHtru,"Transport, Endoplasmic reticular"
NADPHtru,"Transport, Endoplasmic reticular"
NADPtru,"Transport, Endoplasmic reticular"
NADtru,"Transport, Endoplasmic reticular"
NCAMDe,"Transport, Extracellular"
NDP7er,"Nucleotide salvage pathway"
NDPK9,"Nucleotide interconversions"
NH4tp,"Transport, Peroxisomal"
NKCC2t,"Transport, Extracellular"
NKCCt,"Transport, Extracellular"
NMNDA,"NAD metabolism"
NTD1,"Nucleotide salvage pathway"
NTD2,"Nucleotide salvage pathway"
NTD9,"Nucleotide salvage pathway"
O2tn,"Transport, Nuclear"
O2tp,"Transport, Peroxisomal"
OAADC,"Unassigned"
OBDHc,"Glycine, serine and threonine metabolism"
OCBTm,"Urea cycle"
OCDE9ECOAtr,"Transport, Endoplasmic reticular"
OCTD11ECOAtr,"Transport, Endoplasmic reticular"
ORNHISt2m,"Transport, Mitochondrial"
ORNHIStm,"Transport, Mitochondrial"
OROTGLUt,"Transport, Extracellular"
OXALSUCCCLm,"Citric acid cycle"
OXAtp,"Transport, Peroxisomal"
OXOADLR,"Lysine metabolism"
P5CDm,"Glutamate metabolism"
P5CR,"Arginine and proline metabolism"
PCHOLHSTDe,"Transport, Extracellular"
PCRNtm,"Transport, Mitochondrial"
PFK,"Glycolysis/Gluconeogenesis"
PFK_3,"Unassigned"
PGK,"Glycolysis/Gluconeogenesis"
PGM,"Glycolysis/Gluconeogenesis"
PHEMEtm,"Transport, Mitochondrial"
PHETHPTOX,"Tetrahydrobiopetrin metabolism"
PHETHPTOX2,"Phenylalanine metabolism"
PIATPLtm,"Transport, Mitochondrial"
PIGTHRDLtm,"Transport, Mitochondrial"
PIMALtm,"Transport, Mitochondrial"
PIPLC,"Inositol phosphate metabolism"
PIt2e,"Transport, Extracellular"
PIt2m_2,"Transport, Mitochondrial"
PLMCOAPTr,"Carnitine metabolism"
PNP,"NAD metabolism"
PPA,"Oxidative phosphorylation"
PPABHBte,"Transport, Extracellular"
PPALACte,"Transport, Extracellular"
PPARETNte,"Transport, Extracellular"
PPBNGS,"Heme synthesis"
PPCOACRNtm,"Transport, Mitochondrial"
PPDOy,"Pyruvate metabolism"
PPIOGLYc,"Glycine, serine and threonine metabolism"
PPIOGLYte,"Transport, Extracellular"
PPIOGLYtm,"Transport, Mitochondrial"
PPM,"Pentose phosphate pathway"
PPM2,"Pentose phosphate pathway"
PPPG9tm,"Transport, Mitochondrial"
PPPGOm,"Heme synthesis"
PRDX,"Unassigned"
PRO1xm,"Arginine and proline metabolism"
PROD2,"Arginine and proline metabolism"
PROD2m,"Arginine and proline metabolism"
PROGLUtm,"Transport, Mitochondrial"
PROSTGH2t,"Transport, Extracellular"
PROSTGH2t5e,"Transport, Extracellular"
PROSTGI2t,"Transport, Extracellular"
PROSTI2t5e,"Transport, Extracellular"
PROtm,"Transport, Mitochondrial"
PUNP3,"Nucleotide salvage pathway"
PYNP2r,"Nucleotide salvage pathway"
PYRACte,"Transport, Extracellular"
PYRAKGte,"Transport, Extracellular"
PYRRETNte,"Transport, Extracellular"
PYRtm,"Transport, Mitochondrial"
RDH2,"Vitamin A metabolism"
RNAdeg,"Biomass"
RNMK,"NAD metabolism"
RPE,"Pentose phosphate pathway"
RTOT3,"R group synthesis"
RTOT4,"R group synthesis"
RTOT5,"R group synthesis"
SAML,"Methionine and cysteine metabolism"
SARCOXp,"Glycine, serine and threonine metabolism"
SARCStm,"Transport, Mitochondrial"
SARCStp,"Transport, Peroxisomal"
SBTD_D2,"Fructose and mannose metabolism"
SBTR,"Fructose and mannose metabolism"
SERALANaEx,"Transport, Extracellular"
SERTm,"Transport, Mitochondrial"
SERt4,"Transport, Extracellular"
SERtp,"Transport, Peroxisomal"
SMPDEe,"Sphingolipid metabolism"
SMS21e,"Sphingolipid metabolism"
SO3AKGtm,"Transport, Mitochondrial"
SO3MALtm,"Transport, Mitochondrial"
SO4OXAtex2,"Transport, Extracellular"
SO4t4_3,"Transport, Extracellular"
SPAm,"Glycine, serine and threonine metabolism"
SPTx,"Glycine, serine and threonine metabolism"
SSALym,"Glutamate metabolism"
SUCCACONtm,"Transport, Mitochondrial"
SUCCICITtm,"Transport, Mitochondrial"
SUCOAS1m,"Citric acid cycle"
TALA,"Pentose phosphate pathway"
TCHOLAt,"Transport, Extracellular"
TCHOLAt2,"Transport, Extracellular"
TCHOLAte,"Transport, Extracellular"
TD2GLTRCOAm,"Lysine metabolism"
TECR180,"Fatty acid elongation"
TECR181,"Fatty acid elongation"
TECR200,"Fatty acid elongation"
TECR220,"Fatty acid elongation"
TECR240,"Fatty acid elongation"
TECR260,"Fatty acid elongation"
THBPT4ACAMDASE,"Tetrahydrobiopetrin metabolism"
THMDt4,"Transport, Extracellular"
THRA,"Glycine, serine and threonine metabolism"
THRALANaEx,"Transport, Extracellular"
THRD_L,"Glycine, serine and threonine metabolism"
THRt4,"Transport, Extracellular"
THYMDt1,"Transport, Extracellular"
THYMtm,"Transport, Mitochondrial"
THYPX,"Tyrosine metabolism"
THYRDI,"Phenylalanine metabolism"
THYRDI2,"Phenylalanine metabolism"
TKT1,"Pentose phosphate pathway"
TKT2,"Pentose phosphate pathway"
TRDOXtm,"Transport, Mitochondrial"
TRDR,"Nucleotide salvage pathway"
TRDRDtm,"Transport, Mitochondrial"
TRDRm,"Nucleotide salvage pathway"
TRPO2,"Tryptophan metabolism"
TTDCPT1,"Carnitine metabolism"
TTDCPT2,"Carnitine metabolism"
TTDCRNt,"Transport, Mitochondrial"
TYRDOPO,"Tyrosine metabolism"
TYRTA,"Tyrosine metabolism"
TYRt4,"Transport, Extracellular"
UDPG4E,"Galactose metabolism"
UDPGD,"Starch and sucrose metabolism"
UDPGLCAter,"Transport, Endoplasmic reticular"
UGLT,"Galactose metabolism"
UGT1A10r,"Steroid metabolism"
UGT1A2r,"Steroid metabolism"
UMPK,"Nucleotide interconversions"
UMPK5,"Nucleotide interconversions"
UMPtr,"Transport, Endoplasmic reticular"
UPP3S,"Heme synthesis"
UPPDC1,"Heme synthesis"
UPPN,"Nucleotide salvage pathway"
URATEt,"Transport, Extracellular"
URATEti,"Transport, Extracellular"
URCN,"Histidine metabolism"
UREAt,"Transport, Extracellular"
URIt,"Transport, Extracellular"
URIt4,"Transport, Extracellular"
URPT,"Nucleotide salvage pathway"
VALTAm,"Valine, leucine and isoleucine metabolism"
VALt4,"Transport, Extracellular"
VALt5m,"Transport, Mitochondrial"
ZN2te,"Transport, Extracellular"
ZNte,"Transport, Extracellular"
