Reaction,Subsystem
2AMACHYD,"Glycine, serine and threonine metabolism"
2HBACte,"Transport, Extracellular"
2HBBUTte,"Transport, Extracellular"
2HBLACte,"Transport, Extracellular"
2HBPPAte,"Transport, Extracellular"
2HBRETNte,"Transport, Extracellular"
2M3HVACc,"Propanoate metabolism"
2M3HVACte,"Transport, Extracellular"
2M3OVACm,"Propanoate metabolism"
2M3OVACtm,"Transport, Mitochondrial"
2M3OVCOAm,"Propanoate metabolism"
335TRITHYRt5e,"Transport, Extracellular"
34DHOXPEGOX,"Tyrosine metabolism"
34DHOXPEGt,"Transport, Extracellular"
34HPPOR,"Tyrosine metabolism"
3HAD224n6p,"Fatty acid oxidation"
3HAD244n6p,"Fatty acid oxidation"
3HAO,"Tryptophan metabolism"
3HDH241n9p,"Fatty acid oxidation"
3HDH244n6p,"Fatty acid oxidation"
3HLYTCL,"Tyrosine metabolism"
3M2OPLOXRD,"Valine, leucine and isoleucine metabolism"
3MHISt3,"Transport, Extracellular"
41R2A1H12BOOX,"Tyrosine metabolism"
5AOPtm,"Transport, Mitochondrial"
5HTRPDOX,"Tryptophan metabolism"
ABUTt4_2_r,"Transport, Extracellular"
ACACPYRte,"Transport, Extracellular"
ACACPYRtm,"Transport, Mitochondrial"
ACACT224n6p,"Fatty acid oxidation"
ACACT244n6p,"Fatty acid oxidation"
ACBUTte,"Transport, Extracellular"
ACCOAL2,"Fatty acid synthesis"
ACETONEt2m,"Transport, Mitochondrial"
ACGAM6PSi,"Aminosugar metabolism"
ACGAMPM,"Aminosugar metabolism"
ACGAMtly,"Transport, Lysosomal"
ACLACte,"Transport, Extracellular"
ACNAMlt,"Transport, Lysosomal"
ACNMLr,"Aminosugar metabolism"
ACOAD224n6p,"Fatty acid oxidation"
ACOAD244n6p,"Fatty acid oxidation"
ACOAS,"Fatty acid synthesis"
ACONTa,"Citric acid cycle"
ACONTb,"Citric acid cycle"
ACPPAte,"Transport, Extracellular"
ACRETNte,"Transport, Extracellular"
ACTLMO,"Pyruvate metabolism"
ACTNMO,"Pyruvate metabolism"
ACYP,"Glycolysis/Gluconeogenesis"
ADCim,"Propanoate metabolism"
ADNK1,"Nucleotide salvage pathway"
ADNt,"Transport, Extracellular"
ADNt4,"Transport, Extracellular"
ADPOHc,"Lysine metabolism"
ADPOHt,"Transport, Extracellular"
ADPt4,"Transport, Mitochondrial"
ADPtn,"Transport, Nuclear"
ADSK,"Nucleotide salvage pathway"
AG13T10g,"Keraton sulfate synthesis"
AG13T11g,"Keraton sulfate synthesis"
AG13T12g,"Keraton sulfate synthesis"
AG13T13g,"Keraton sulfate synthesis"
AG13T14g,"Keraton sulfate synthesis"
AG13T15g,"Keraton sulfate synthesis"
AG13T16g,"Keraton sulfate synthesis"
AG13T17g,"Keraton sulfate synthesis"
AG13T18g,"Keraton sulfate synthesis"
AG13T4g,"Keraton sulfate synthesis"
AG13T5g,"Keraton sulfate synthesis"
AG13T6g,"Keraton sulfate synthesis"
AG13T7g,"Keraton sulfate synthesis"
AG13T8g,"Keraton sulfate synthesis"
AG13T9g,"Keraton sulfate synthesis"
AGTim,"Alanine and aspartate metabolism"
AGTix,"Alanine and aspartate metabolism"
AHC,"Methionine and cysteine metabolism"
AKGACte,"Transport, Extracellular"
AKGDa1,"Citric acid cycle"
AKGDa2,"Citric acid cycle"
AKGDb,"Citric acid cycle"
AKGSUCCtm,"Transport, Mitochondrial"
AKR1C41,"Bile acid synthesis"
ALAR,"Alanine and aspartate metabolism"
ALASm,"Glycine, serine and threonine metabolism"
ALA_DTDe,"Transport, Extracellular"
ALAt4,"Transport, Extracellular"
ALCD21_D,"Pyruvate metabolism"
ALCD21_L,"Pyruvate metabolism"
ALCD22_D,"Pyruvate metabolism"
ALCD22_L,"Pyruvate metabolism"
ALDD19x,"Phenylalanine metabolism"
ALDD19y,"Phenylalanine metabolism"
ALDD21,"Fatty acid oxidation"
ALDD21x,"Fatty acid oxidation"
ALDD2x,"Pyruvate metabolism"
ALDD2y,"Pyruvate metabolism"
